Sentences,Sentence Sentiment,Aspects,Aspects Sentiment
"بلال فضل وأهل كايرو.. خفة دم بوليسية ... كتب اكرم القصاص وسط كم المسلسلات والبرامج،هناك أعمال مكررة أو منقولة أو برامج حوارية تافهة،",1,"أعمال،برامج حوارية","-1,-1"
رومانسية مخلوطة بوحشية راقية في ليلة قرش دموية على غير المتوقع يأتي فيلم ليلة قرش منفردا عما سبقه من أفلام تناولت تلك القصص البحرية الدامية والتي يهتم مخرجيها دوما بطغاء اللون الأحمر على معظم مشاهدها دون الأهتمام بعمود الفيلم الفقري والذي تنساب منه أحداث الفيلم. ,1,وحشية,1
فلما قويا يدين المجتمع ويحطم الطريق المسدود هذا الفيلم اخرجه مخرج الواقعية صلاح ابو سيف عندما لجأ الي أدب الكاتب الكبير احسان عبد القدوس للكشف عن مشاكل المرأة و ابراز العقبات التي تصادفها في المجتمع العربي الذي يميل الي جانب الرجال متناسيا دور المرأة و حقها في حياة كريمة بلا قهر او ظلم . فكانت سلسلة من تلك النوعية منها فيلم انا حرة و لا أنام . وفي هذا الفيلم يعرض المخرج محاولة الفتاة فايزة في أن تعيش حياة نظيفة و مثالية بعيدا عن فساد امها وأخوتها الذين سقطوا في مستنقع الرزيلة بعد وفاة والدها . فتجتهد في دراستها حتي تستقل بنفسها و تبتعد عن أسرتها رغم المشاكل التي تقابلها مع زملائها بسبب سمعه اسرتها و لكنها تتحمل من أجل أن تحقق املها في الحرية والاستقلال . و تقابل مؤلف للروايات كانت تؤمن بمثاليته و قصصه التي تنادي بالفضيلة و الشرف و لكنها تنخدع فيه عندنا يحاول أن يقيم معها علاقة فتتناساه. ,1,"فلم،الكاتب،جياة","1,1,1"
البيه البواب وانقلاب الهرم الاجتماعي ناقش فيلم البيه البواب قضية هامة من قضايا الثمانينات وهي قضية انقلاب الهرم الاجتماعي وتمكن طبقة من الطبقات الدنيا مثل طبقة البوابين من التحكم كيفما تشاء فيمن حولها والارتقاء بمستواها ننتيجة احتكارهم لمهنة السماسرة واصبح البواب سيدا يتحكم في الجميع ويحقق الثراء المرغوب من أسهل الطرق بعد ان كان محكوم عليه ان يكون يعيش داخل بوتقة حارس العقار والملبي لطلبات سكان العقار المتولي حارسته وبالرغم من أن فيلم البيه البواب لم يكن فيه تطور أو صراع ,1,قضية,1
"عنوان يختصر كل الألم الذي نعيش حين شاهدت الحلقة التي بتم فيها الاعتداء على الملازم عامر بكيت بحرقة،بكيت البراءة والحب اللذان انتهكا بعد أن استطاع الكاتب أن يوقعنا في فخ عشق هذه الفطرة الأصيلة لابن القرية المنقرض في هذا الزمان،ولكن الألم لم يقترب وبأي شكل من ألالم الذي نقلته إلي الحلقة التي تلت هذه الحادثة،حينما انتهت مراسم انتهاك البراءة،ليتحول الملاك إلى شيطان جديد،ماذا نستيطع أن نقول عن هذا المسلسل،أسمحوا لي أن أحيي فريق العمل كاملاً من مخرج وكاتب وممثلين،وقبل أن استفيض لابدَّ من الإشارة إلى أن الإخراج قد أعطى أصغر التفاصيل حقها وكان رائعا في تقصي المصادقية والبحث عن كل ما يجعلنا نعيش في الثمانينات من جديد وكأنها ما عبرت ولاتزال بيننا،",1,الفطرة,1
ابن القنصل بين الاكشن والكوميديا بعد ان عودنا السقا على افلام من درجة اولى وبعد ان صار نجم الاكشن الاول بد؟أ الان مرحلة السقوط فبعد فشل الديلر(باعتراف السقا نفسه) سارع ليتدارك الازمة وتعاون مع نجوم كبار امثال القديم الجديد خالد صالح ومجدي كامل الا ان ذلك لم ينقذ الفبلم قصة الفيلم تبدو جديدة الا ان اضافة افيهات كوميدية اضعفت الفيلم حيث ظهر السقا متصنعا الفيلم مقارنة بافلام العيد (من حيث القصة و الاخراج )جيد لكن مقارنة مع ما قدمه السقا فهو سيء من وجهة نظري كان فيلم الجزيرة هو القمة في تاريخ السقا وعليه ان يحسن اختياره ولا فالقاع ينتظر,1,"افلام،افيهات","1,-1"
مذاق جديد يستحق التقدير من الطبيعي والمدرك تماما أن تقديم عمل درامي اجتماعي في إطار كوميدي من السهل تقديمه وان كل ما يحتاج إلىه هذا العمل إخراج و كاتب سيناريو بارع في إعداد حوارات ومشاهد مليئة بالافيهات والاسكتشات الكوميدية التي يمكن من خلالها تقديم عمل يطلق عليه فيلم كوميدي اجتماعي بغض النظر عن القصة ومحتواها والابطال القائمين ع العمل هل هم ابطال بارعين في تقديم مثل تلك الاعمال ام لا.,1,"كاتب سيناريو،ابطال","1,1"
"ممدوح عبد العليم والشخصية الكوميدية بالرغم من أنه ليس نجم من نجوم الشباك الذين يتهافت عليهم المنتجين والموزعين إلا أنه نجح في أن يجذب إليه اصحاب تلك العيون مؤكدا أن هناك تغييرات كثيرة تطرأ على ذوق الجمهور نفسه واحتياجاته ليبحثوا عن نجوم للكوميديا غير المتعارف عليهم،فقرر ان يكسر الحيز الذي وضعه فيه هؤلاء الموزعين والمخرجين وتجار السينما واجبارهم على اختيار اشخاص وممثلين أخرين إنه الممثل ممدوح عبد العليم الذي اشتهر بتقديم الدراما التلفزيونية محققا عن طريقها ناجح كبير بجانب ادواره السينمائية التي اشتهر فيها ولكن تلك المرة يجبر المخرج نادر جلال والمؤلف ابراهيم الجرواني أن يقبلا بجنون على خوض تجربة غريبة",1,"ناجح،تجربة","1,1"
"انطلاقة لم تكتمل .. الفشل تصنعه الدعاية .. و ما اتصدرش العبيطة .. الفيلم في رأيي أهم دور كوميدي لعبه ماجد الكدواني في السينما , مساحة واسعة لإظهار قدارته , الموسيقى لعبت دورا هاما و السيناريو ليس مملا ابدا و أحلى ما فيه النهايه .. هذا إذا تعاملنا مع الفيلم على انه فيلم كوميدي فقط و هو يقدم نفسه على هذا الأساس .. فهناك الكثير من الأفلام الكوميدية التي حققت الملايين في دور العرض دون النظر لمحتاوها الفكري أو حتى الفني و ليس شرطا أن تكون مملة .. اللمبي .. بوحة .. عوكل .. اتش دبور .. ميدو مشاكل و غيرها .. أما سبب فشله في دور العرض فطبيعي جدا لعدة أسباب : 1 - حملة الدعاية الفاشلة 2 - أغنية الفيلم التافهة ماتصدرش العبيطه التي صممت بنمط أفلام الشباب في نهاية التسعينات رقص و جري و تنطيط 3 - التريلر الضعيف مع ان الفيلم به ضيف شرف هو كريم عبد العزيز .. و لماجد الكيدواني دور ليس بالهين في سينما كريم عبد العزيز فكان من المتوقع ان يسانده جمهور كريم عبد العزيز .. لكن للأسف لم يحدث هذا .. نتمنى أن نرى ماجد الكيدواني في دور البطل مجددا , ليضيف الى رصيده ادوارا أخرى لامعه مثل دوره في فيلم كباريه , بعد أن انتهى به المطاف في دور صغير الملامح و الجاذبية في فيلم لا تراجع و لا إستسلام ..",0,"مساحة،أغنية الفيلم،حملة الدعاية،التريلر","1,-1,-1,-1"
مبروك لبشير وبيبو اود ان اوجه التحيه للمخرجه مريم ابو عوف وفي نفس الوقت اوجه اللوم عليها فقد بذلت في الفيلم مجهود جيد فكيف تقبل ان يظهر والدها بهذا الشكل المسئ لسنه ولم اقل لفنه لانى لم اعجب بعزت ابو عوف في اى من ادواره وكنت اظن ان المخرجين هما من يظلموه بهذا الادوار السخيفه التافهه ولكننى اكتشفت انه هو الذى يحب ان يقوم بادائها لن اطيل عليكم ,1,"مجهود،الشكل","1,-1"
"الفكرة والعرض فكرة المسلسل برزت بشكل قوي في المواجهة مابين ممدوح عبد العليم ومحمد رياض عندما طلب ممدوح عبد العليم من محمد رياض ان يتزوج بنت يوسف شعبان فرفض محمد رياض ذلك العرض بحجة انه يحب فتاة اخري فرد عليه ممدوح عبد العليم (بلاحب بلا كلام فاضي ) ففكرة المسلسل ان الحب ليس كلام فاضي كما يعتقد اهل الصعيد والمفارقة في وقوع مممدوح عبد العليم نفسه في الحب لاثبات ان الحب ليس كلام فاضي . كانت كل مشاهد المسلسل قوية وتخدم فكرة المسلسل فالصراع يشد المشاهد من اولي الحلقة الي اخر حلقة في المسلسل،ولقد اجاد الفنان الكبير ممدوح عبد العليم هذه الشخصية التي تغرق في الحب ولاتستطيع التعبير عنه الا بالانفعالات القوية،وايضا جادت الفنانة القديرة مني زكي دورها بشكل رائع حيث انها نالت اعجاب جميع مشاهدي المسلسل في السودان و هذا المسلسل في راي يمثل الانطلاقة الحقيقية للفنانة مني زكي،كما ان اسم المسلسل يخدم هذه الفكرة بشكل جيد .",1,"شكل،الفنان،الانفعالات","1,1,1"
ما هذا الفيلم ؟؟؟ ما هذا الفيلم ؟ و كيف تم أسر المتفرج طوال مدة العرض ؟ و ما هذه الموهبة الطاغية لـ احمد زكي !! هذا العملاق الذي فارقنا مبكراً و رحل جسدا و لن يرحل تاريخا سينمائيا ساطعا كشمس الظهيرة ... ألم تشعرون مثلي بأن هذا الفيلم يربطنا و يسمرنا أمام الشاشة بمغناطيسية غريبة ! هل هو أخراج الراحل اكبير الطيب ! أم أن ذلك يعود الى منتصر الذي بقي منتصرا حتى و هو يقتل و يقتل ثم يتم قتله في نهاية الحدوتة المخابراتية لمحمد وفيق ,1,الموهبة,1
"انور وجدي وحدوتة قبل النوم حدوته بسيطة افتعالها انور وجدي وشارك فيها ابو السعود الابياري اصبحت تيمة سينمائية مشهورة يردد البعض الكثير من اوديوهاتها (معانا ريال معانا ريال)،(حسبي النار يا قطقوطة)...انها حدوتة (ياسمين) التي قدمها انور وجدي عام 1950 مضيفا استكشاف الطفلة المعجزة فيروز إلى براعته في تصوير أفكار ناجحة تصنع سينما جماهيرية جذابة",1,"حدوته،تيمة،أفكار","1,1,1"
"قلة الامكانيات وحداثة العهد ثمن لعمل متميز قد يستفسر البعض حين عرض فيلم (أيوب) كيف ترك الكاتب الكبير نجيب محفوظ قصة (ايوب) في يد مخرج صغير مبتدئ كهاني لاشين،وكيف يوافق ع بيعها لجهاز الاتحاد والتلفزيون ﻹنتاجها متأكدا من قلة الامكانيات والخبرات في صناعة السينما،هل فعل ذلك ووافق لتواجد الفنان العالمي عمر الشريف ضمن ابطال الفيلم مما جعله يطمئن لتعامله مع مخرجين وممثلين كبار اكسبه خبرة كبيرة تمكنه من تقديم عمل متميز بغض النظر عن المخرج حديث العهد هاني لاشين",1,"الامكانيات،عمل،الكاتب،الفنان","-1,1,1,1"
فيلم أكثر من رائع .. لم يأخذ حقه من التقدير بعيدا عن الافيهات و القفشات الكوميدية .. بعيدا جدأ عن سينما الثمانينات بكل ما فيها من سلق سينمائي و أفلام مقاولات و أفلام رتيبة و أفلام جيدة و لكن تقليدية القصص .. بعيدا عن التهريج و الأسفاف و الضحك على المشاهد .. بعيدا عن كل ما هو سيء في عالم السينما المصرية .. يسطع هذا الفيلم الأنساني الرائع ليشكل علامة بارزة تحتاج الى تقدير اكثر بكثير مما سبق .. عادل أمام هنا يقدم دور العمر و ( يمثل ) هنا بحرفنة بعيدة عن اللازمات التقليدية للكوميديان و التي أستخدمها لعقود من الزمن .. هو ممثل كبير جدا بالتأكيد و لكن قيمته الفنية ظهرت هنا بالذات بشكل أوضح من عشرات و مئات الأفلام التي أداها .. محمد خان أثبت بأنه عالمي و ليس مجرد مخرج محلي أخر,1,"فيلم،أفلام،علامة","1,0,1"
"ذات يوم والوقوع فى فخ اﻹستسهال لا أدرى السبب الرئيسى فى إختيارى لفيلم ""One Day"" دوناً عن غيره من الأفلام الموجودة بالسينما،ربما إعلان الفيلم الذى أوحى لى بإنه فيلم جيد،ربما بطلة الفيلم آن هاثاوي التى أحب أدائها،ملامحها،وأفلامها،أو ربما مخرجة الفيلم لون شيرفيج التى كنت قد شاهدت لها فيلم """" وإعجبت به جداً لحرفية صناعته،لكن الشئ الحتمى الوحيد أن أفيش الفيلم قد لفت نظرى وبشدة لجمال ألوانه وبساطته وتلقائيته. الشئ المؤسف فى الموضوع أن الفيلم لم يكن على مستوى توقعاتى أو قل آمالى،",0,ألوان,1
الجماعة عندما يصعد بك الفنان للسماء !... ..كانت لدى بعض التوجسات قبل مشاهدة مسلسل الجماعة ..فعندما علمت بعمل مسلسل عن حياة (حسن البنا ) موسس جماعة الاخوان زاد استغرابى .. فمن يا ترى سيترك مسلسلات التسلية والجواز والطلاق....الخ ليذهب لمشاهدة مسلسل تاريخى !! وعن من عن حسن البنا!.. مين ؟؟ كنت اعتقد ان مسلسلات كتلك مخصصة (للنخبة المثقفة.. المخملية ..القارئة .....),1,النخبة,1
"وجه نظري في فيلم سيما علي بابا بالنسبه لي هذه اول مره اكتب نقد لفيلم عامتا وارجو ان تعجبكم هذا النقد. الفيلم مكون من فيلمين وهي فكره جديده علي السنيما المصريه واول عرض هو حزلئوم في الفضاء تقيمي للعرض الاول هو ان لقصه لا باس بها ""ان حزلئوم يتم اختطافه من الارض ليقوم بدور ملك ريفوالذي اغتيل في احدي جولاته الكونيه وتصحب هذه المغامره حزلئوم بدوره الفكاهي ولن احرق عليكم االقصه اكثر من ذلك:))",-1,,
"مفهوم الشرف والاخلاق بشكل عام اشرف فهمي مخرج منفرد استطاع أن يفرض نفسه ع ساحة السينما المصرية ,تمكن خلال سنوات قلائل في أن يصبح واحد من اهم مخرجي جيله حيث استطاع أن يقدم مجموعة من الاعمال الفنية مثل (ولا يزال التحقيق مستمرا)،و(اغتيال مدرسة) والتي تعكس عمق جديد بالسينما المصرية وتمكن من تقديم رؤية لصياغة سينمائية على أعلى مستوى يقرب من المستويات العالمية من خلال ابداعاته الفنية فنجج في استخدام كل ادواته برفقة المبدع صبري موسى عند تقديمهما لفيلم (حادث النصف متر)",1,"اشرف فهمي،صبري موسي","1,1"
"لم اتوقع هذا علي الاطلاق! دخلت الفيلم لأري عبقرية واداء وديع وتهامي بعدما شاهدت الدعايا التي حققت نجاحا كبيرا بل وجوائز ايضا... فكرة الفيلم جميلة ولكنها ليست كفكرة الدعايا ففكرة الدعايا افضل بكثير ولكن ""الحشو اللي ملوش لازمة بوظ الفيلم"" فمثلا ما فائدة دور انتصار في الفيلم؟! وما فائدة دور ام تهامي باشا في الفيلم؟! الفيلم كان من الممكن ان يكون كوميدي من الدرجة الاولي وذلك عن طريق ""ان وديع يفكر ويشتغل ويعمل الافلام العالمية وييجي تهامي في النهاية يبوظها زي الدعايا"" وليس عن طريق عمل شخصيات جديدة بالفيلم مثل انتصار التي لم تكن لها فائدة في الفيلم علي الاطلاق ""اللي ضيعت تقريبا نص وقت الفيلم"" والاسوأ من ذلك ضمير وديع الذي استيقظ فجأة عندما طلب تهامي منه تصوير فيلمه بطريقة فاشلة حتي يهرب من الضرائب ولكن والمفاجأة!",-1,"فكرة الفيلم،طريقة","1,-1"
ابواب الخوف واول دراما رعب عربية بعيدا عن أن مسلسل (ابواب الخوف) يعتبر اول عمل درامي تلفزيوني رعب يقدم في الوطن العربي وانه عمل فني يناقش احداثاً مثيرة للجدل كموضوع التنبأ بالاحداث قبل وقوعها كما ان احداثه مبنية على قصص اغلبها تخرج مما نسمعها في ثقافتنا العربية حول الانس والجن والعالم الخفي فإن هناك مجموعة كبيرة من العوامل ادت إلى نجاح هذا العمل فنيا وجماهيريا بدء من تتر المسلسل الذي يشعرك بالخوف والرهبة مما سوف تراه بعد انتهائه ومرورا باختلاف المؤلف في بعض الحلقات مما ادى إلى تقديم افكار جديدة في كتابة السيناريو وتنوعه تشعرك بأن كل حلقة فيلما سينمائيا مستقلا كما ان نجاح المخرج أحمد خالد ف اختيار مجموعة من الممثلين بالرغم من حداثتهم بعهد التمثيل والفن كان له أثر في التميز بتقديم شخصيات العمل ببراعة وايضا صدق حبكة القصة من حيث عدم تمكن شخصية المحور الرئيسي بالعمل (آدم)من تقديم اي مساعدة لهؤلاء الاشخاص الذين يقابلهم بتلك الحياة وماوراء الطبيعة,1,"احداث،حبكة القصة","-1,1"
"تميز سينما نادية الجندي رغم التشابه تمكنت نادية الجندي في وقت قصير من أن تصبح بأفلامها حقيقة من حقائق السينما المصرية وأن تصبح ظاهرة تجارية مكتسحة ومحققة لإعلى الايرادات حتى استحقت ان تلقب نفسها بنجمة الجماهير،ومن بين عالم المخدرات وعالم المخابرات قدمت نادية الجندي العديد من الاعمال الفنية التي لاقت نجاحا قد يكون جماهيريا اكثر منه فنيا.",1,,
سينما هادفه.... ولكن ؟ لاشك أن الفنان يوسف وهبي قد ترك في السينما بصمات قوية لا تنسي . وكانت معظم افلامه التي قام ببطولتها تهدف الي التمسك بالفضيلة و الاخلاق الحميدة . فأفلامه كانت هادفة و مباشرة لان السينما كانت في بدايتها و كان لابد أن يقدم المخرجين الهدف و الغاية بدون غموض او اسقاطات حتي يسهل علي المتفرج العادي والتي كانت نسبة الامية كبيرة وقتها أن يستوعبها و يدرك المقصود من قصة الفيلم و يخرج منه و قد استفاد و فهم الحكمة من موضوعه. ,0,"سينما،بصمات","1,1"
"عاطف الطيب ومنطقية التخشيبة صاحب موهبة لا يستطيع احد ان يشكك فيها نجح في تحقيق ما حقق بأسرع مما حققه أي مخرج من شباب مخرجي جيله،برزت أعماله وبراعته التكنيكيةفي العديد من الاعمال الفنية التي قدمها فقدم (الغيرة القاتلة) و(سواق الاتوبيس) الذي يعد من افضل 100 فيلم بالسينما المصرية وجاء فيلم التخشيبة حيث منطقية الاحداث التي تحدث في حياتنا الطبيعية ليشترك عاطف الطيب برفقة المبدع وحيد حامد ",1,وحيد حامد,1
نقطه ضعف في تاريخ ماجده عندما تشاهد هذا الفيلم تشعر ان الفنانه ماجده في حاله تخبط او عدم اتزان فليس هذا ابدا فيلما من افلام الفنانه ماجده الذي يمكن ان تفتخر به في تاريخها الفني الطويل . صحيح انها قامت في بدايه حياتها الفنيه بافلام كوميديه خفيفه بعضها بلا قيمه و لكن كان لها كل العذر لانها كانت تريد ان تثبت وجودها في وسط الفنانين الكبار . ,-1,الفنانين,1
سقطه من سقطات المخرج الكبير بركات رغم تاريخ المخرج الكبير بركات وتركه لعلامات مضيئه في تاريخ السينما المصريه مثل دعاء الكروان و الحرام و غيرها الي انه في هذا الفيلم يلجأ الي الكوميديه الاستعراضيه والذي اعتقد انه لم ينجح فيها بالدرجه الكافيه فخرج الفيلم كوميديا مبتذله الي حد كبير و يكفي انه استعان بالممثل محمد عوض الذي كان ممثلا كوميديا مبالغا في ادائه الي حد كبير و جعل من الفنانه الكبيره امينه رزق ترقص و تغني لاول مره في حياتها مما اثار تعجب النقاد وقتها كما استعان بنجمه الاغراء ناهد شريف لتقوم بدورها الخالد في العري و القبلات و الاثاره . والفيلم يحكي عن مشاكل محسن ( محمد عوض ) مع اخواته البنات منهم ساميه ( ماجده الخطيب ) التي تدرس بالجامعه و لاتجد حرج في ان تتعامل مع زميلها بكل حريه وان يأتي اليها في البيت للاستذكار معا . ,-1,"المخرج،علامات،الفنانه","1,1,1"
"الرسوم المتحركة وتفوقها ع الدراما التلفزيونية بعيدا عن السياسة والثورة والدراما التلفزيونية البهتة يخرج يحيى الفخراني بعمل جديد يضاف إلى رصيده الفني الكثير والكثير ...لكن تلك المرة معتمدا على صوته فقط دون استخدام تعبيراته وانفعالاته التي تميز بها وكانت سببا في نجاح العديد من الاعمال التي قدمها ...انه مسلسل الرسوم المتحركة (قصص الحيوان في القرآن) الذي يحاكي قصص الحيوان والتي ذكرت في القرآن الكريم مقدما كل قصة على حدة بدء من ابناء سيدنا آدم هابيل وقابيل وقصتهما مع الغراب ومرورا بناقة سيدنا صالح وغيرها من الحيوانات التي ساعدت في توصيل رسالة النبوة إلى الناس،",1,الدراما التلفزيونية,-1
التدني بالذوق السينمائي اعتقد انه لابد من الاعتذار اولا لكل من مخرج العمل احمد البدري ومؤلفه أحمد عبدالله اذا استحقا الاعتذار عن تقديم مثل هذا العمل الغير لائق بصحيفة اعمالهما الفنية ..وقبل الخوض في احداث فيلم غير مفهوم ولا مترابط دراميا لابد من التأكيد انه رؤية لشخص قرر ان يؤلف ويخرج صور هلوسية هابطة ليس إلا ,-1,صورة,-1
تحول الحب من إشاعة إلى اذاعة والنتيجة واحدة في ظل ضعف السيناريوهات السينمائية المطروحة وتقديم دراما سهلة مستهلكة اكثر من مرة قَدم فيلم (إذاعة حب) الذي يبدو من اسمه انه معالجة سينمائية لفيلم عربي آخر قدم سابقا وهو (إشاعة حب),0,دراما,-1
