Sentences,Aspects,Aspects Sentiment
شركة اتصالات أسوأ الشركات غيرت الباقة لازم صاحب الخط يروح احد الفروع والا يتم وقف الخط ليه وفين الإجراءات والاحتياطات اللي الشركة عاملاها علشان تقلل خطر انتقال فيروس كورونا فين راحة العميل وايه الداعي ,الشركات,-1
دو تطلق خدمة تقنية الجيل الخامس اللاسلكية لمنح عملائها تجارب ترفيهية استثنائية منازلهم بالعربي موبايلك تقنية تكنولوجيا اتصالات ,"خدمة،تجارب","1,1"
زين تطلق كيانها الرقمي بالعربي موبايلك تقنية تكنولوجيا اتصالات ,زين,1
ممكن نبعت الرقم الرابط ده واحنا هنكلمك نقدر نقدم الطلب ونستلم الشريحة أقرب فرع اتصالات بخصوص الانظمة المتاحة هيتم توضيحها ال ,,
 تم حل المشكله بنجاح وكلها اشاعات انا وشركه اتصالات اخوات ,المشكله,1
حضرتك دخلت اتصالات لقيت موظف سوري لية قلة المصريين ,,
 تقدر تحول لرقم إتصالات مشترك خدمة إتصالات كاش ,,
 انا اسفة بس اعلان اتصالات رائع غير أحمد عز كان هيبقى أحلى يارب ما حد يقيم عليا الحد ,اعلان اتصالات,-1
بقيت العمر كان اتصالات بس طلعت شبكة متخاذلة واتخليت ,شبكة  ,-1
اعلان اتصالات بتاع قالوا مجنون افضل اعلان اتصالات عملته واللى عايز يتعارك يا مراحب ,اعلان اتصالات,1
انا عندي خطين اتصالات فودافون بستخدمهم مناطق مناطق بتكون الشبكة احسن لشركة البيت اورانج بصراحة كلهم اسوأ بعض ما شاء الله ,الشبكة,-1
رقم اتصالات بيرن عليا كل يوم تقريبا عمري ما رديت قررت ارد النهاردة لقيتهم بيوزعوا جيجا ببلاش ردوا ع اتصالات يا جماعة ,رقم اتصالات,0
أن شاء الله وراه لحد ما يكون وجهة اعلان اتصالات ,,
 فودافون فى نت منزلى محترمين جدا احسن اتصالات وكمان , فودافون,1
شكرا ان انتوا محلتوش المشكلة بتقولولي الموضوع خارج شركة اتصالات فوري معرفش ازاي الشركة المنوطة بالمشكلة ميبقاش ايدها الحل ,"المشكلة،الشركة","-1,-1"
رواتر اتصالات بيكون شغال الخدمة اتصالات فقط يافندم ,رواتر اتصالات,-1
اسوأ شركة اتصالات والمشكلة انهم اغلى غيرهم ,شركة اتصالات,-1
اتصالات شبكتها سئ لاسوأ بجد ,شبكة,-1
اهلا بيك تطبيق ماى اتصالات اختار ادارة اضافة حذف خط اضافى ,,
 شراكة جديدة بين فودافون مصر ومجموعة العربي لتقديم خدمات الاتصالات والحلول الرقمية بالعربي موبايلك تقنية تكنولوجيا اتصالات ,"شراكة،الحلول الرقمية","1,1"
لأجل هذه الفيديوهات اجدد باقة النت يا اتصالات ,الفيديوهات,1
اتصالات أدوني جيجا نت بدون اي سبب ايه ,اتصالات,1
اتوقع معانا اكسب دقبقة اتصالات صالحة لساعة واحدة نتيجة ديربي مانشستر ,دقيقة اتصالات,1
كمان التعاقد متاح فروعنا ممكن نقدم طلب بالتعاقد تطبيق ماي اتصالات لإعادة المتابعة المبيعات ونقدر نحمل اللينك ده ,"التعاقد،طلب","1,1"
شرفنا اتصالات طبعا للتحويل لازم يكون الخط مسجل بأسمك ومر ملكيتك ليه شهور الأقل والرد الطلب بيكون يوم عمل وقت ارسال الطلب العلم ان تشغيل الخط بيكون يومين عمل ممكن توضيح حضرتك هتحول لنظام فاتورة لا كارت ,"اتصالات،خط","1,0"
جميع فنياتاتصالات وجميع فروعها السنترال لاتفهم شى الاكسس روتر موزع وكلام ومشاوير وصرف نقود وتعب لازم نغير الشركة ,السنترال,-1
صحيفة تكشف تفاصيل اتصالات الساعات الأخيرة بشأن الأحداث التي تشهدها الأراضي المحتلة ,الأحداث,-1
ودي ابعتهالك ع اتصالات كاش ولا ايه ,,
 اغنية اعلان اتصالات بتاع احمد عز تحفة مافيمنك ,اعلان اتصالات,1
كواليس اعلان اتصالات ,,
 دائما اتجاهل كان اعلان صفحات الانترنت اما كانت رسايل اتصالات ابلغ الرقم برسالة نصية متضمنه رقم المحتال رمضانمعالإنماء ,اعلان صفحات الانترنت,0
عايز اشتري خط جديد ايه الاحسن اتصالات ولا وي ,خط,1
لسا بعملوا اتصالات ,,
 لا ياعم والله فرق كبير الشبكة بجد اتصالات دايما واقعة ,الشبكة,-1
كنت بفكر احول لفودا اتصالات ,,
 بمناسبه شركات الاتصالات احسن شركه والشبكه كويسه ايه غير اتصالات يعني لما اغير اجيب ايه ,"شركه،الشبكه ","1,1"
حد يخرج أغنية إعلان إتصالات دماغي ,,
 بصراحة الموضوع ده مريح فشخ عملته وقتها أنا مش بيجيلي بالرسايل بتاعت إتصالات اللي هي مبروك كسبت حرنكش للتفاصيل إتصل ب ,الموضوع,1
شركة اتصالات يا اتجننت يا السيستم بايظ بايظ خالص ,السيستم ,-1
شركه اتصالات بعتالي بتقولي مبروك كسبت وحدهمش مكفينهم الوحده اللي انا ,شركه اتصالات,0
جميل هو دة اتصالات وموبينيل ,,
 أن شاء الله وراه لحد ما يكون وجهة اعلان اتصالات ,,
 جيجا ي مبتكفيش قد ال جيجا داتا بتوع اتصالات ,,
 رمضان شهر الخير والبركة ساهم معانا إرسال شنطة لكل أسرة يتيمه للتواصل طريق الواتس اتصالات كاش وجزاكم الله خيرا جميعا ,رمصان,1
يا افندم انا شحنت كارت عادى تطبيق ماي اتصالات وصلتنى رساله انى جمعت صورة ف عملت استبدال ف لقيت الابليكيش بيقولى معاك الف وحدة شوية ف اية دا بقي عشان افتح نت براحتى الشركة تاخد الرصيد ,"كارت،صورة،رصيد","0,0,-1"
اهلا بحضرتك حضرتك تقصد كروت شاحنة صادرة فوري مثلا اي خدمة تاني فدي بتكون مشكلة الشركة اللي بتصدر كارت الشحن مشكلة صادرة كارت اتصالات مطبوع فممكن تبعتلنا رقمك ورقم مسلسل الكارت واحنا هنتابع حضرتك أكيد ,"كروت،كارت اتصالات","-1,-1"
دلوقتى اتصالات بتقدم عرض خصم لمدة شهور بداية شهر رمضان للعملاء الجدد باقات العرض بيكون متاح اول فاتورة كاملة ونقدر نشترك الخدمة طريق الاتصال بـ زيارة أقرب فرع فروع اتصالات طريق موزعبن اتصالات ,"عرض خصم،العملاء","1,1"
كيف اجدد الباقة التطبيق ,الباقة,1
يومي الخميس الجمعة م ص ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل دوماديوس ,الرد,1
برجاء التواصل وتسجيل شكواكم طريق رقم ملاء استمارة ببيانات الشكوي الرابط التالي ,شكوى,1
اهلا بك احنا بنتابعك الرسائل برجاء المراجعة تم الرد أندرو ,الرسائل,1
رسالتك وصلتنا بيتم الرد برجاء المراجعة سيف ,"رسالة،الرد","1,1"
اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة سابا ,"رسالة،الرد","1,1"
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل رمضاناربيع جهاد ,"الرد،الرقم،التفاصيل،الرسائل","1,1,1,1"
عملينا العزيز برجاء إجراء اي معاملة مالية محفظة اورنـ كاش تجنبأ لتطبيق جنيه رسوم شهرية الرسالة دي جاتني ليه اني مش مشترك أورنج كاش ,"معاملة مالية،رسوم","1,1"
العفو موجودين لمساعدتك اي وقت نهال ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل رمضاناربيع جهاد ,"الرد،الرقم،التفاصيل،الرسائل","1,1,1,1"
تجاهل الرساله دي تيجي بالسلامه انشالله ممكن نفعلها مره اخري عبداللطيف ,الرساله,-1
برجاء التواصل وتسجيل شكواكم طريق رقم ملاء استمارة ببيانات الشكوي الرابط التالي ,الشكوي,-1
عملينا العزيز برجاء إجراء اي معاملة مالية محفظة اورنـ كاش تجنبأ لتطبيق جنيه رسوم شهرية الرسالة دي جاتني ليه اني مش مشترك أورنج كاش ,"معاملة مالية،رسوم","0,0"
عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,خدمة ,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة مها ,خدمة,1
بالنسبه للاستاذة اللي ردت عليا امبارح الرد ده ليه محدش اتصل بيا امبارح للنهارده ولا كل ده مجرد كلام بتريحو العميل بيه ,الرد,-1
بالفعل بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ضياء ,خدمة,1
تابعنا الرسائل مندور ,,
 طب انا بقالي ثلث ساعة ال اللهم اجعله خير ,,
 طيب انا بعت عايز ايه ,,
 كيف اجدد الباقة التطبيق ,الباقة,0
رديت ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة هبه ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل رمضاناربيع جهاد ,"الرد،الرقم،التفاصيل،الرسائل","1,0,0,0"
احنا بنتابعك الرسائل برجاء المراجعة تم الرد ياسمين ,"الرسائل،المراجعة،الرد","1,0,1"
,,
,,
إحنا ممكن نساعدك بنعتذرلك الانتظار اكيد إحنا بنعمل كل إللي نقدر عشان نرد مكالمتك بسرعه ,مكالمة,1
نتائج تأثير بيئة العمل سلوك الموظف مجتمع العمل القرار الأختيار الجمهوريةالجديدة تحيامصر مصر الماء غير مرئي للأسماك التي تسبح يؤثر أفعالها مثل بيئة العمل تماما تؤثر أفعال الموظف خارج وداخل العمل ,"بيئة العمل،الموظف،العمل،القرار،الماء،اسماك،أفعال الموظف،العمل","0,0,0,0,1,0,1,1"
تم الرد ال ايرينى ,,
 بيتم متابعتك الرسايل دينا ,,
 مساء الخير إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح التفاصيل الرسائل ده للمراجعه بشكل أفضل كمال ,التفاصيل,0
تابعنا الرسائل مندور ,,
 الموضح ان المشكلة تم حلها لسه المشكلة لم يتم حلها ممكن توضحلنا الرسائل لمساعدتك بشكل افضل شهاب ,"المشكلة،الرسائل","1,0"
طيب انا بعت عايز ايه ,,
 بنعتذرلك تجربتك احنا بنتابعك الرسائل رغده ,,
 الحقو يا جماعة اورنج بتقول إنكم اللي قاطعين خدمات الانترنت سنترال سوادة يوم الجمعة وواقفين حال الناس اللي بتستخدم خدمات اورنج المطلوب رد سريع وإصلاح الخدمة بدل ما نرفع الشكوى لوزير الاتصالات ,"الانترنت،الجمعة،الناس،اورنج","-1,0,-1,-1"
الان الخدمة غير متاحة وهيتم الاعلان فور توفرها جميع الوسائل المتاحة دوماديوس ,"الخدمة،الوسائل","-1,0"
لية بقي انا مش مشترك المحفظه أصلا انتوا عايزين فلوس وخلاص اقولك مش هشحن الخط خالص ,المحفظة,-1
بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,خدمة,1
رسالتك وصلتنا بيتم الرد برجاء المراجعة نهال ,رسالة,1
تمام ,,
,,
,,
 بعتلكوا ويارب يكون رد واضح سريع ,"واضح،سريع","1,1"
ال نفسه مش بيفتح الخدمه منعدمه هدعى عليكوا ف ليله القدر ,الخدمه,-1
,,
,,
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل نورهان ,الرقم,0
مواعيد العمل بمعظم فروعنا شهر رمضان الكريم الفترة الصباحية السبت للخميس ص م يوم الجمعة م م الفترة المسائية السبت للأربعاء م م يومي الخميس الجمعة م ص ,"العمل،الفترة الصباحية،الفترة المسائية","0,0,0"
كيف اجدد الباقة التطبيق ,الباقة,0
برجاء التواصل وتسجيل شكواكم طريق رقم ملاء استمارة ببيانات الشكوي الرابط التالي ,شكوة,-1
عميلنا العزيز احنا جاين نغفلك اي حاجة كاتبين عميلنا غلط الدولار ,العزيز,1
,,
,,
بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,"الرسائل،خدمة،مساعده","1,1,1"
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أميرة ,خدمة,1
جيجا يخلصوا ف خمس ايام ليه امال مكناش ف رمضان ,رمضان,-1
يهمنا وجودك معانا مشكلة بتواجهك إحنا موجودين عشان نحلها وهيتم التواصل الرسائل طارق ,"وجودك،مشكلة،التواصل","1,1,1"
بيتم متابعتك الرسايل دينا ,,
 حصل بيت الرد الرسائل الخاصة ردود استفزازية للعميل ,"الرسائل الخاصة،ردود","-1,-1"
مساء الخير إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح التفاصيل الرسائل ده للمراجعه بشكل أفضل كمال ,التفاصيل,1
تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جنة ,الرساىل,0
احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,الرسائل,0
,,
يعني ايه شركة بحجم اورنج يتحرق عندها جهاز وخدمات الإنترنت تنقطع المستخدمين يوم الجمعة ومش لاقيين حد يجيب جهاز توصيل عمومي ويركبه ويرجع الخدمة التخلف ده موجود افريقيا ,"خدمات الأنترنت،جهاز","-1,0"
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سي ,"الرد،الرقم،التفاصيل،الرسائل","1,1,1,1"
الرقم عندكم التفاصيل انتم عرفنها كويس ودي مش محتاجه توضح انا بس عايز اعرف عمليه سرقه الرصيد اللي انتم هتقمو بيها امتا علشان اعمل حسابي لان الحمد لله السنه دي اولها لسه مفيش سرقه رصيد اتوقع الفتره الجايه يكون اتمني يكون رد عندكم وتبلغوني امتا رصيد هاتسرقوه ,سرقه,-1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك اندرو ,"الرسائل،خدمة ","1,1"
شكوى رسمي وعملت ومرواح للفرع ورحت مرة اعمل ايه تاني قبل ما اروح اعمل محضر عشان ترجعوا فلوسي ,,
 مساء الخير بنعتذرلك اى مشكله واجهتك بيتم المتابعه معاك الرسائل رغده ,الرسائل,-1
بيتم المتابعه الرسائل مندور ,,
 رديت ,,
 بتكون شهرية لحد ما يتم عمل اي معاملة مالية كريم ,,
 يهمنا وجودك معانا مشكلة بتواجهك إحنا موجودين عشان نحلها ممكن توضحلنا رقمك رسائل الصفحه للمراجعه امل ,,
 اهلا بك عشان نساعدك بشكل افضل محتاجين تفاصيل اكتر الاستفسار مندور ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 والمصحف بعتلكوا ,,
 يوم الجمعة م م الفترة المسائية السبت للأربعاء م م ,الفترة,1
اهلا بيك بيتم الرد والتواصل الرسائل عبداللطيف ,,
 بالفعل بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ضياء ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ماريهان ,خدمة,1
بعت الرقم ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جنة ,خدمة,1
تمام ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,خدمة,1
اهلا بك بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك شهاب ,خدمة,1
بيتم متابعتك الرسايل دينا ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة هبه ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,خدمة,1
تم بالفعل متابعتك الرسائل عند اي استفسار اخر ممكن تتابعنا بيه وهنساعدك بأفضل شكل عبد السلام ,خدمة,1
وممكن تبعتلنا الفرع الأقرب للتأكيد الكود نقدر نعرف عناوين الفروع مارينا ,الفرع,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد الاء ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عمر ,,
 جيجا يخلصوا ف خمس ايام ليه امال مكناش ف رمضان ,,
 اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة ساره ,,
 مواعيد العمل بمعظم فروعنا شهر رمضان الكريم الفترة الصباحية السبت للخميس ص م ,شهر رمضان,1
إحنا ممكن نساعدك بنعتذرلك الانتظار اكيد إحنا بنعمل كل إللي نقدر عشان نرد مكالمتك بسرعه ,مكالمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مي ,,
 بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سي ,,
 تابعنا الرسائل مندور ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل طارق ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك عبد السلام ,خدمة,1
اهلا بك احنا بنتابعك الرسائل برجاء المراجعة تم الرد وسام ,,
 احنا تابعناك بالفعل الرسايل لمساعدتك محمد ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد بسنت ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 بيتم المتابعه الرسائل امينه ,,
 مدربين تماما عدم حل اي مشكلة وكدابين وخدمة زي الزفت طيب نكلم مين الشركة خطأ تعمله الشركة وترفض حله وتم عمل شكوي الجهاز القومي لتنظيم الاتصالات حد يعرف سكة بمقاضاة الشركة لما لحق بي أضرار وطلب تعويض عدة ملايين ,خدمة,-1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جنة ,خدمة,1
بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ساره ,خدمة,1
بعته لحضرتك فعلا الاستفسار ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل رمضاناربيع جهاد ,,
 مواعيد العمل بمعظم فروعنا شهر رمضان الكريم الفترة الصباحية السبت للخميس ص م ,شهر رمضان,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سيف ,,
 بنتابعك الرسايل سالي ,,
 بنعتذر تجربتك وبرجاء المتابعة الرسائل لمساعدتك كريم ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل اللينك ده للمراجعه بشكل أفضل اسلام ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل دوماديوس ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل طارق ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سي ,,
 اهلا بك عشان نساعدك بشكل افضل محتاجين تفاصيل اكتر الاستفسار مندور ,تفاصيل,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سي ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 إمبارح حصل معايا موقف كويس كان عندي مشكله باقة الانترنت وكلمتهم قدمت شكوى الموظف اللي رد عليا كان ذوق ولطيف جدا أقل ساعه كلمتني موظفة مرتين وتتابع معايا حل المشكله بجد شكرا ان اورانج رجعت تاني لمستوى عالي خدمه العملاء ,"موقف،الموظف،مستوى","1,1,1"
علشان استفسارك يهمنا احنا تابعناك الرسائل برجاء متابعتنا الرسائل لضمان سرعة الرد للحفاظ سرية بياناتك هيثم ,"الرد،بيانات","1,1"
شكوى رسمي وعملت ومرواح للفرع ورحت مرة اعمل ايه تاني قبل ما اروح اعمل محضر عشان ترجعوا فلوسي ,,
 اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة سابا ,,
 اهلا بك بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك شهاب ,خدمة,1
الان الخدمة غير متاحة يا فندم وهيتم الاعلان فور توفرها جميع الوسائل المتاحة امام ,"خدمة،الوسائل","-1,1"
الان الخدمة غير متاحة يا فندم وهيتم الاعلان فور توفرها جميع الوسائل المتاحة امام ,"خدمة،الوسائل","-1,1"
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك شهاب ,خدمة,1
عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل دوماديوس ,,
 وممكن تبعتلنا الفرع الأقرب للتأكيد الكود نقدر نعرف عناوين الفروع مارينا ,الفرع,1
ضجيج طحن ولا فايدة ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,خدمة,1
اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة ليلي ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل دوماديوس ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل اللينك ده للمراجعه بشكل أفضل اسلام ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عبداللطيف ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل دوماديوس ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد سيف ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة اندرو ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك اندرو ,خدمة,1
يهمنا وجودك معانا مشكلة بتواجهك إحنا موجودين عشان نحلها وهيتم التواصل الرسائل طارق ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك الاء ,خدمة,1
بعت الرقم ,,
 تابعنا الرسائل مندور ,,
 الان الخدمة غير متاحة وهيتم الاعلان فور توفرها جميع الوسائل المتاحة مندور ,"الخدمةـ،الوسائل","-1,1"
تم الرد ال ايرينى ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل ندي ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل ندي ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أميرة ,خدمة,1
تم الرد الرسائل عمر ,,
 هل حد زي كل ما اكلم ال بتاعت مش بلاقي حد بيرد ولا انا بس ,,
 تابعنا الرسائل بالتفاصيل للمراجعه اسلام ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك الاء ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مندور ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك عبد السلام ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك الاء ,خدمة,1
