Sentences,Aspects,Sentence Sentiment,Aspects Sentiment
شكلها روعه لاكن اللون مو ذهبي فاقع نفس الصوره شوي افتح,"شكل،اللون",-1,"1, -1"
السلعة جيده وذو نوعيه رائعه وشكرا على خدمة رائعه منكم,السلعة,1,1
جميل  اتمنا الجديد,,0,
الشريط الداخلي يطلع من مكانه وتتوسع المحفظة وتصير بدون فائدة,,-1,
جيد جدا للبطاقات للناس التي تحب الاحتفاظات بالبطاقات في السياره كالرخص والهويه وبطاقات الصراف,,1,
جيدة وعملية وتقوم بشد ترهلات الجسم وخاماتها ممتازة .... لكن مشكلتها انها صعبة في الارتداء,,1,
حجمها صغير ورائعه المظهر خصوصا اللو الذهبي,حجم,1,1
عملية ولها اكثر من استخدام وسعرها مناسب,سعر,1,1
السلعة ليست بالجودة المطلوبة  وقد اشتخدمتها لمرة واحدة فقط ولم ارجع لاستخدامها مرة ثانية .,السلعة,0,-1
جميل جدا والاجمل شكله وكتابته,"شكل،كتابة",1,"1, 1"
جهاز سيئ جدا منتج رديئ وجوده رديئه ولا يستحق اى مبلغ. ولا انصح به احد,"جهاز،منتج",-1,"-1, -1"
المكيف جوده سيئة ولا يوجد تبريد إطلاقا لم استفد منه و المبلغه المدفوع فيه مبالغ فيه لعدم وجود تبريد اعرف المكيفات الصحرايه لاكن ليس بجوده هذا المكيف,"المكيف،المبلغه",-1,"-1, -1"
"السعر مره غالي انا شريت نفس الفلتر هذا بحوالي ٤٥٠ يغطي ٢٤ متر مربع من اكسترا بتقريبا ٤٥٠ ريال ،و هنا ما احد ذاكر المساحه اللي يغطيها اذا كان نفس الحجم ،فسعره غالي و ادا كان يغطي مساحه اكبر فيمكن يستاهل !! و تحياتي",السعر,-1,1
جهاز مفيد وعملي,جهاز,1,1
بصراحة عملية و تؤدي الغرض في سرعة التبخير .. ولكن مشكلة الحرارة في بدن القلم بعد الإستخدام مزعجة,"سرعة التبخير،الحرارة",0,"1, -1"
جدآ رائعة و صلتني في الوقت المحدد,,1,
ممتازة وخفيفة وسريعة لكن  الافلام غير متوفرة,,1,
انصح فيها وجدا سعرها مناسب,سعر,1,1
"سلعة غير عملية , حاولت مرارا وتكرارا استخدمها ولكنها لاتطبع الروسومات , يؤسفنى تقييمها بهذا الشكل فهى سلعة غير جيدة لاتؤدى وظيفتها البتة , لا تخاطر بشراءها .",سلعه,-1,-1
واسعه بتشيل كل حاجه ومبطنه من الداخل علشان مافيش حاجه تتكسر جواها الاسود بتاعها جميل والسوست قويه سهله الحمل لاي مكان ممكن ف شنطه اليد كمان بس تكون الشنطه ف الحجم الوسط او الكبير,شنطه يد,1,1
المنتج جيد لابأس به,المنتج ,1,1
رائع وسهل الاستخدام. ينظف المناكير الخارج من حدود الظفر. يوجد رأسين احتياطي للتبديل في حالة عطب الرأس المستخدم.,,1,
عديمة الفائدة وسعرها غير مناسب,سعر,-1,-1
جهاز عملي وسريع ومختصر للوقت في تنظيف البشرة اشكرك ع السعر المميز الله يبارك لك في مالك يارب ويكثر من امثالك,"جهاز،سعر",1,"1, 1"
ممتااااااااااااااااااااااااااااااز,,1,
المنتج رائع - الشحن سريع - متابعة فائقة الجودة من موقع سوق - البائع امين - ساكرر تجربة الشراء من موقع سوق - شكرا موقع سوق - شكرا للبائع - شكرا لشركة ارامكس - مع تحياتي,"المنتج،الشحن،البائع",1,
راااائعه,,1,
ممتازة جدا وذات جودة  ولجودتها ولاكتمال المواصفات ومصداقيتها,,1,
ساعطي الفرش ذات الشعر الاحمر تقييم: متوسط.,الفرش ذات الشعر الاحمر,-1,0
المقص ليس عملي ونتائجه سيئة للغاية,"المقص،نتائج",-1,"-1, -1"
رووووووعه,,1,
الفرش جدا جميله وعمليه وسعرها جدا مناسب من افضل الفرش الي استخدمتها انصح فيها بشدة وتم وصولها بافضل حاله اسعدني التعامل معك,"الفرش،سعر",1,"1, 1"
شعر الفرشاة جداً ناعم وسعرهاً جداً مناسب شكراً,"شعر الفرشاة،سعر",1,"1, 1"
الخامه سيئه والسوسته ضعيه وسريعه التلف,"الخامه،السوسته",-1,"-1, -1"
أتمنى تطويرها لتصبح قطعتين معاً والمقاس يمكن التحكم به,,1,
رائع لكن يفضل علي البائع سرعة التوصيل,,1,
نفس الطلب بحذاقيره ... رائع ... سريع ... دقة ... نظافة ... متعة ... مغامرة في كل رسمة ... ذوق في الرسمات الناعمة جدا جدا جدا ... شكر خاص للبائع الصادق ... وشكر خاص لـ ((( سوق كوم ))),الرسمات ,1,1
رائحته جميله ويقوم بالعناية بالبشرة بطريقة لطيفة .. أضف إلى ذلك انه سعره رائع من البائع samiiiii  بمبلغ 30 ريال فقط,"رائحه،سعر",1,"1, 1"
الوان رائعه وجذابه لحبيبات الكافيار لتزيين المناكير. سرعة التوصيل. السعر مناسب. للاسف لاتحتوي على أداة لوضع الحبيبات على المناكير.,"الوان،السعر",1,"1, 1"
#NAME?,,1,
صابونة اكثر  من رائعة  ونتائجها ممتازة .. واهم شي انها طبيعية  مية بالمية ..,صابونه,1,1
جيده جداا وانصح بشرائها لانها مريحه جدا وتساعد في ترتيب وتنظيف اظافر القديمين ولا تستهلك جهد كثير ولا وقت  طويل,,1,
عملية وخفيفة وتساعد على ترتيب المظهر,,1,
اكثر من رائع .. وكان تعامل المندوب في قمه الذوق,,1,
"السلعة ممتازة،انا جربتها من شخص قبل ما اطلبها ولكن للاسف بعد ما وصلتني زعلت لان التغليف كان سئ مما ادى الى ان السلعة لم تكن صالحة للاستخدام","السلعة،التغليف،السلعة",1,"1, -1, -1"
المنتج جيد وكما في الصورة و حسب ماتم اختيارة وسعره ممتاز وتم وصولة وهو بحالة ممتازة و تم وصولة في وقت قياسي .,"المنتج،سعر،وقت",1,"1, 1, 1"
السلعة ممتازة وسعرها مناسب والبائع سريع في ارسال الشحنات..ويسرني التعامل معه مستقبلاً,"السلعة،سعر،البائع",1,"1, 1, 1"
روائح جميلة..,روائح,1,1
ننصح بهذا المنتج كونه منتج اساسي لمحبين التصوير بالسيارة والاسطح اللمساء,المنتج,0,1
thanks great item i ever have so i will use it with my canon really love them,,1,
نوعية الخامه جدآ عجبتني وشكلها جميل وانيق,"نوع الخامه،شكل",1,"1, 1"
السعة جيدة مقارنة بسعرها..ويعيبها ضعف قاعدة الشفط..,السعة,-1,1
منتج ممتاز لكن سعره غالي,"منتج،سعر",1,"1, -1"
جييد,,1,
جيده جدا  والبائع سريع فى شحن البضاعه,البائع,1,1
المنتج جيد جدا من ناحية المواد المصنعه وسهل الاستخدام  ويوجد حقيبة جميله       بطل,"المنتج،حقيبة",1,"1, 1"
خفيف الوزن ومصنوع من الالمنيوم,الوزن,1,1
لا انصح بها أبداً و صعبة الاستخدام لسوء صنعها ........................................................................,,-1,
رسوماتها كبيره وجميله ومختلفه وتوصل بسرعه وتطبع بسرعه وجيدة الصنع معاها كرستالات للزظافر وملقط للكرستالات وواداة تنقيط ممتازه واختصرت علي شراء الادوات,رسومات,1,1
تم استلام السلعه فى الوقت المحدد ..,السلعه,1,1
رائعه وشكلها انيق وتناسب الرجال والنساء وقمت بطلب عدد 4,شكل,1,1
ممتازة جدا ... ناعمة على البشرة جدا ... فخامة ... ألوان جذابة مريحة نفسيا ... شكر خاص لمصداقية البائع ... وشكر خاص لــ ((( سوق كوم ))),البشرة,1,1
جودة المنتج ضعيفه ..ولكن سعرها جيد,"المنتج،سعر",-1,"-1, 1"
جدا رائعه وانصح فيها بقوه,,1,
منتج غير جيد,منتج ,-1,-1
ممتاز جداً وذو جودة عالية ويستاهل قيمته,جودة,1,1
ممتازه جداً انها رائعه للتصوير وومتازه جداً انصح بها الجميع خاصة المصورين بتكون لهم جدا ممتازه وتضبط للمناظر,التصوير,1,1
جيد للكاميرات الخفيفة,,-1,
بالنسبه للتصوير جيده جدا ولكن نظرا لحجمها الصغير جدا فانها تمثل عيبا فى حملها ولمس الشاشه وغيره.,"التصوير،حجم",-1,"1, -1"
اخيس كاميرا انصحكم بعدو عنها اسألوا مجرب    ابعدو نصيحة لحد يشريه شفوها عندي اذا حولت المقاطع للجوال يطلع الصوت مقطع وتزعجك بالتصوير التقائي وﻻ معها بطاريه يعني ﻻزم تشبكها بالبطاريه دايم,كاميرا,-1,-1
ممتازة جدااا,,1,
لا يوجد,,1,
تصويرها ليس جيد وليست HD ..وتصوير غير واضح سيئه جدا...والصوت ليس جيد...كام سيئة بمعنى الكلمه..استخدمتها مره وحده ورميتها,"تصوير،صوت",-1,"-1, -1"
منتج جميل جدا,منتج,1,1
اعتبر انها مفيدة لبعض الاشخاص  خصوصا الذين يودون تحويل الاشرطة القديمة الى سي دي وكذلك في النقل المباشر,,1,
أصلي ١٠٠ %,,1,
منتج رائع وانصح اي شخص فيه بس اتمنى البائعين يبيعوا للاجهزة الاخرى زي الHTC One M8/GALAXY S5/Sony Z3...,منتج,1,1
ماشاء الله جميلة و ساعدتني في العرض الصور و الأفلام,,1,
وسعره غالي بالنسبه لتجاري,سعر,-1,-1
راائعه جدا وشكلهم حلوو ... بس لو فيه منه 3 متر احلى,شكل,1,1
usb و خفيف على الجهاز .. صورة جيدة جداً .. لا يحتاج خبرة فى التظبيط .. البرامج الاصلية  على اسطوانة,,1,
"منتج سيئ لا يعمل مع الأيفون 5 اس ولا أيباد ميني حيث تظهر رسالة تفيد أن الكيبل  لا يدعم الجهاز (ايفون 5 اس) ولا (ايباد ميني)،حيث تم شراء عدد 2 ولم أستفد منه،وتم إلقائه في القمامة",منتج,-1,-1
حلوة الفكرة يريت لو تجبلناا للجالكسي بنفس النوعية..^^,,1,
تعمل بشكل جيد,,1,
لم أجدها فى أى مكان فى تبوك وأخيراً وجدتها فى سوق.كوم السلعه ممتاذه البائع ممتاز وأنصح بالشراء من عنده,"السلعه،البائع",1,"1, 1"
السلعة سعرها ممتاز وجيدة لا بأس بها,"السلعه،سعر",0,"1, 1"
I thought it would work on car stereo AUX,,1,
جيدة جدا ومفيدة وسعرها مقبول,سعر,1,1
سلعه جدا رائعه وانصح بها لكل من يملك ايباد وايفون,سلعه,1,1
"رائع جدا ،لم اندم لحظة واحدة على شراءه",,1,
"وصلة ممتازة جدا تسمح بتشغيل الفلاش ميموري ع الموبايل ,, ونقل البيانات من الفلاشة إلى الموبايل , ومن الموبايل إلى الفلاشة",وصلة,1,1
مناسب جداً لحفظ مفاتيح جميع أبواب المنزل يتميز بقوة الخشب المصنوع منه ويعيبه فقط عدم امكانية اقفاله بقفل,,1,
حلوه بس سعرها ما يسوا,سعر,-1,-1
جميل جدا الله يعطيك العافية.,,1,
جودة جيدة,جودة,1,1
شكرآ لتعاملكم الراقي وع الهديه اللي جت مع السواره الله يبارك لكم ان شاء الله,تعامل,1,1
مطابق للصورة..جودته جيدة..ووصلت بسرعة,جودة,1,1
رائعة جدا,,1,
عن جد راائعة ... ناعمة ... ذوق رفيع ... تفاصيل دقيقة ... وااو في اللبس ... أعطيها كل النجووم وأكثر,,1,
لا أنصح بشرا  المنتج و ندمت على ذلك,المنتج,-1,-1
مميزة جدا و عصرية .. و الهدايا التي جاءت مع الطلب دليل على رقي الاخ البائع الكريم. و ستكون فرصة جميلة للشراء منه مرة اخرى.,,1,
جميلة جدا و مغلفة  و الاجمل هي الاساور التي جاءت معها. اشكرك اخي الكريم و فرصة سعيدة للشراء معكم مرة اخرى.,الاساور,1,1
جميلة جداً وجذابه ....,,1,
عاديه,,0,
ممتازة وفعالة فى تخفيف آلام العظام والمفاصل,,1,
حميلة جداً,,1,
NIIIIIIIIIIIIIIICE,,1,
اعجبت به,,0,
I recommend this item for a friend.,,1,
جميل وسهل الاستخدام  وسهل الاحتفاظ به,,1,
"بصراحة البائع في غاية الاحترافية سرعة في تجهيز و شحن السلعة , والسلعة تغليفها ممتاز وجديدة كليا .","البائع،السلعة",1,"1, 1"
السعو مبالغ فيه جداا,السعر,1,-1
حلوه و بس فيها واحده متكرره فا هيا كده فيها 4 مش 5 باليتات و لازم مانكير تقيل و مش بينشف بسرعه عشان بنفع معاها,,0,
فكرة رائعة جدا ... سريعة ... للبروفوشنل والمبتدئة والصبايا والأطفال ... فكرة ذكية ... نظافة الصبع على الأصابع ... شكر خاص للبائع الصادق ... وشكر خاص لــ ((( سوق كوم ))),"فكرة،البائع ",1,"1, 1"
من الاشياء الجيدة التي حصلت عليها,الاشياء,1,1
Very Low Material and it is not working well at all,,-1,
gooooooooooooood,,0,
منتج مميزوجميل,منتج,1,1
بأعطيكم تجربتي شوفوا أول ماتشتروا المفرش عرضوه للضوء كم ساعة يكفي لمبة الغرفة بعدها لماتطفوا النور كانك في الفضاء شكل نجوم وعبارة عيون الكون كمان مولعه بصراحة جو رومانسي وخيالي شكرا للبائع وشكرا لسوق كوم,المفرش,1,1
خفيفه جدا لاتقيء من البرد,,-1,
كم ورد في الوصف,,1,
عطر جميل الرائحة,عطر,1,1
#NAME?,,1,
ماتشتغل,,-1,
عمليه جدا  وتسهل علي مستخدمها وضع فرشاته في مكان امن و شكل جميل,شكل,1,1
منتج ممتاز وعلمي في نفس الوقت,منتج,1,1
البائع قام بالشحن في نفس اليوم,,1,
منتج سيئ للغايه  ولما اشتريتو اشتغل يومين وبعدها باسظ مش راضى يشتغل بمعنى ان انا دفعت فلوس علي الفاضى,منتج,-1,-1
ممتازه في حال انقطاع التيار الكهربائي...والاطفال يستمتعون ببالاضاءه ...وخروج اامياه منه بشكل انسيابي ورائع,,1,
منتج صينى وخامته رديئة و لم تعمل الالوان المضيئة بعد فترة صغيرة من شرائه ولا يمكن التحكم فى انسيابية الماء وميزته فقط انه يقوم بتغير الالوان المضيئة حسب درجة الحرارة,"منتج،خامة",-1,"-1, -1"
الدش يعمل وفعلا يعطي الوان ولكن يعطي اكثر من لون في نفس اللحظة ويغيرهم بسرعة جدا تحس انك في ديسكو مش في الحمام .. :) شكله جميل واضائته مقبوله والأهم .. مياهه قوية رغم اني كنت خائف من هذة النقطة ... أرجوا تعديل الإعلان بصور حقيقية للمصداقية مش أكثر ...,شكل ,0,1
افضل صابونه علي الاطلاق,صابونه,1,1
جربوها,,1,
بائع سريع جداً ومنتج اكثر من رائع thanks,"بائع،منتج",1,"1, 1"
رايي عن السلعه بانها فعلا ممتازه وانصح بها اي شخص يرغب في شرائها بان يشتريها ويستخدمها بدون تردد.......,السلعه,1,1
مره حلوة الصابون الأفريقي,الصابون الأفريقي,1,1
تستحق الشراء وممتازة ويمكنك ان تصلها بجوال (ايفون او اندرويد) او حتى بجهاز الكمبيوتر.. رائعة لكن سعرها شوي غالي,سعر,1,-1
البائع شخص صادق في الوصف ومبدع في التغليف والتوصيل سريع جداً والاسعار اكثر من ممتازة انصح بالتعامل معه بشدة ويكفي ان السلعه من مكة المكرمة,"البائع،التوصيل،الاسعار",1,"1, 1, 1"
"التوصيل السريع و الجديه في التعامل ,",التوصيل,1,1
السلعة جيدة و أنصح بها,السلعة,1,1
بصراحه  اثناء استلام الشحن قلت في نفسة اضحك علي .....بس لما استخدمته في مكان مظلم ...صدمت من قوته  وطلع خطير جدا ....حتى اللي حولي يسوؤل من فين اشتريته  ؟,,1,
سيئة لاختلاف مواصفاتها,,-1,
الحقيبة خفيفة الوزن وصغيرة الحجم وخامتها قوية وسعرها مناسب,"الحقيبة،خامة،سعر",1,"1, 1, 1"
مناسبة خصوصا فى الرحلات لصغر حجمه وامكانية حمله و تخزينه بسهولة كذلك مدة العمل الخاص به أراها جيدة,,1,
رائعة جداً  .   و الضوء البيض وقوي .,الضوء,1,1
سلعه جيده طبعا بعد تعبئتها بالمضخه اليدويه لانه بمجرد تشغيل المضخه الكهربائيه تعطلت بسبب التيار الكهربائي 220 وبعد اطلاعي على الكتيب اتضح لي انه التيار الكهربائي 110 الخاص بالمضخه الهوائيه فلو ذكر نوع التيار بالوصف ماكان صار اللي صار,سلعه,-1,1
منتج جيد جدا وانصح بإقتنائة ولكن عدد القطع قليل ولكن جيدا عموما,"منتج،عدد القطع",1,"1, -1"
صعب الغلاف الخارجي+غير متماسگ لـ درجة انگ تحتاج لـ تسنيده على احدى الجدران,الغلاف الخارجي,-1,-1
اعجبني,,1,
جيد ومناسب,,0,
بعض المواد غير مطابقة لصورة .,المواد,-1,-1
بصراحة رائع ومريحة وخاصة في حالة حضور ضيوف فجأة عموماً روعة,,1,
ممتاز وعملي جداً,,1,
"جميله جدا ,,اشتريتها وهي مخفضه ولكن سعرها الحالي غالي عليها",سعر,1,-1
خامة القماش ممتازة جدا وسرعة وصول المنتج قياسية شكرا,"خامة القماش،سرعة وصول المنتج",1,"1, 1"
الاضاءه ضعيفه جدا ولا تستمر اكثر من ساعه,الاضاءه,-1,-1
ما يشحن تمام ويخلص الشاحن بسرعه والنور ضعيف جدا,"الشاحن،النور",-1,"-1, -1"
مواصفات جيده جدا ولكن لوحة النظام الرئيسية او المذر بورد لايعمل,لوحة النظام الرئيسية,1,-1
جهاز منخفض السعر وذا جودة جيدة متناسبة مع سعره,"جهاز،جودة",1,"1, 1"
البائع كان صادق جداً في الوصف وانصح بالتعامل معه بشدة وسريع الاستجابة في عملية البيع والشحن والتغليف رائع,البائع,1,1
هذه السلعه قديمة والبائع كان صادق في الوصف والصورة مطابقة للعملة,"السلعه،البائع،الصورة",1,"1, 1, 1"
البائع طلبت منه اكثر من عملة وصلتني اليوم عملة القطب المتجمد الجنوبي وأرسلي هدية البائع محترم والموقع (سوق.كوم)محترم وأكثر من مرة طلبت سلع وآرامكس التزمو بالوقت اشكر البائع,البائع,1,1
بصراحه اسرع بائع تعاملت معه ويشكر على اهتمامه ووصلتني بحالة ممتازه جدا والسعر منافس,"بائع،السعر",1,"1, 1"
رائع وجميل,,1,
ساعة جميله ومتتازه وحجمها مناسب للمساجد الصغيره او المنزل وسعرها مناسب وبها توقيت هجرى وميلادى ومواقيت الصلاه مع سهولة ظبطها.,"ساعة،حجم،سعر",1,"1, 1, 1"
- إيجابيات و سلبيات الحرمين HA.3007 ساعة ومنبه:,,1,
لم يعجبني شيئا و الصناعه رديئة جدا و خفيف الوزن و الصوت ضعيف جدا ولا اعتقد ان يشتغل اكثر من 2 شهر,"الصناعه،الوزن،الصوت",-1,"-1, -1, -1"
رائعة ومناسبة,,1,
"السلام عليكم ورحمة الله وبركاته ممتازة.  جدا لفحص السيارة عن طريق الجوال والكمبيوتر انصح بها وشكراً،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،",,1,
جهاز حلو ومريح بالاستخدام  وانصح به باقي الشباب في حال توفر الجهاز استخدامه لانه يوفر عليك  المصاريف,جهاز,1,1
جدا مفيده,,1,
سلعة ممتازة و عملية و أنصح بشراءها حيث لا غنى لأي سيارة عنها في حين تعدد الأجهزة المحمولة و التي تشحن من خلال هذا المنفذ  منفذ الولاعة بالاضافة لمنفذ usb  في أداة واحدة بكابل طويل يسهل وضعها في اي,سلعة,1,1
ممتازة جداً وأنصح لاستخدامها في الرحلات البرية والبحرية وسهولة استخدامها بالإمكان حملها علا كتف لوجود إمدادات خاصة بالكتف,,1,
انصح بشراء المنتج الصراحة ممتاز جدا انصح وبقوه,المنتج,1,1
عدم المصدقيه في المواصفات,المواصفات,-1,-1
الكاميرا جداا رائعه في التصوير النهار فقط,الكاميرا,1,1
جدا رائعة وسعرها معقولة.. جربتها وأعطتني مشاكل السيارة كلها.,سعر,1,1
"السلعة ممتازه ومطابقة للمواصفات ،انصح الجميع بتجربتها ،هناك سرعة في توصيل الطلب ،سهلة الاستخدام .","السلعة،المواصفات، توصيل الطلب،الاستخدام",1,"1, 1, 1, 1"
قطعة ممتازة وفيها مميزات مفيدة جداً خصوصاً إذا كنت كثير السفر بالسيارة تعطيك حرارة اللديتر بالدرجة المئوية وتراقب حاجات كثير,قطعة,1,1
