Sentences,Aspects,Sentence Sentiment,Aspects Sentiment
"مطعم لطيف يغلب عليه الطابع اليوناني لان مالكه اظن يوناني ولكن الطعام هندي اغلبه
لطيف مزدحم دائما الطعام يتأخر نتيجه للزحام مفضل من الاجانب ولكنه كحال كل مطاعم جوبا مطعم بسيط وغالي جدا","مطعم،الطابع،مالك،الطعام،الطعام،مطعم",1,"1, 0, 0, 1, -1,1"
"
الحلويات جيدة حقا. هناك الكثير مما يمكن أن نتوقع لأنه لديه العديد من العملاء ولكن في النهاية الكعك هم حقا جيدة","الحلويات،الكعك",1,"1, 1"
"
مطعم علا شاطى في هواء طلاق آكلات شهية تمن مناسب شكرًا لي جميع موفدين علا حسن تعامل و احسان مدينة سورينطو مدينة جميلة و مجتمع و الناس محترمن","آكلات،تمن،مدينة سورينطو،مدينة،مجتمع،الناس",1,"1, 1, 1, 1, 1, 1"
من اجمل انواع القهوه التي شربتها في حياتي قهوه مع كريمه و اجمل كيكه هي الملفيه مع النوتيلا ولا اروع انصح كل من يزور مدينة نابولي ضروري ان تمر على هذا الكافيه لانها ذكرى لن تنسى,"قهوة،كيكة",1,"1, 1"
"مطعم ممتاز في ايطاليا
كنت قد طعام الغداء للمرة الثانية في هذا المكان لغداء عمل. الغرفة مع الطوب مقبب ليست قصيرة من المدهش. على النقيض مفروشات بسيطة وحديثة مع العمارة القديمة بطريقة ممتعة. متباعدة بشكل صحيح بحيث الجداول يمكن أن يكون هناك خصوصية جيدة. المطبخ ودية والاهتمام الخدمة وغرامة يرافقه أنيق جدا. وسوف بالتأكيد وأوصى به.","مطعم،مفروشات،العمارة،طريقة،شكل،خصوية،الاهتمام،الخدمة",1,"1, 0, 0, 1, 1, 1, 1, 1"
"احد الأصدقاء الإيطاليين دعوني على العشاء،كان من اروع مايكون من حيث المكان والخدمة و الطعام حقا من اروع الأماكن في روكاجورجا - لاتينا
المقبلات،الطبق الرئيسي و الحلويات","المكان،الخدمة،الطعام",1,"1, 1, 1"
"ضيافة رائعة
الضيافة في المطعم والخدمة كانتا جداً رائعة خصوصا لما يكون المضيف هو الشاب التونسي (عادل) طلبنا السلطة الخضراء و كانت جيدة . و طلبنا البيتزا نوعين بالفطر وباللحم(البيتزا اللي باللحم كانت افضل).
و طلبنا السباغيتي بالبحري و كانت تجربة رائعة و جميلة
في هذا المطعم تستطيع أن تذوق الطعم الإيطالي كما هو ...","ضيافة،الضيافة،الخدمة،السلطة الخضراء،السباغيتي باللبحري،البيتزا باللحم،تجربة",1,"1, 1, 1, 1, 1, 1, 1"
"شيء خيالي
كل شيء هما يشعرك بالارتياح الاكل الجناح الخدمات ممتازة شيء لا استطيع وصفه مذهل من اجمل الليالي التي عشتها","شيء،الاكل،الخدمات،الليالي",1,"1, 1, 1, 1"
"جميل
مكان حلو كتير و مريح... أكل طيب و غريب من الطبقات الأمركيه للإطليه... من القهوه الأمريكيه للإ سبريسو
بنصح فيه","مكان،أكل",1,"1, 1"
"مطعم اكثر من رائع
رحنا المطعم انا و زوجتي و اكلنا واحد (لورد)
طبعا انا طلبته و زوجتي طلبت (تاكينو)
طبعا بالنسبة لي تجربة جميلة و لذيذة جدا
بالنسبة لزوجتي كانت احلى من عادي
في الختام انصح فيه بشدة","مطعم،تجربة",1,"1, 1"
"من أروع الأماكن
يقع في أجمل ساحات فيرونا . خدمته ممتازة ومأكولاته ولا ألذ من اللحوم والأسماك الطازجة . رواده بحسب ما رأينا يقصدونه من كافة أنحاء العالم وفي سهراته أجواء رومانسية مع مطرب ايطالي وعازف بيانو . بامكانكم الاستمتاع بكل ذلك بالداخل وسط ديكور ايطالي راق وأسلوب مرهف بتقدمة الأطباق . أما في الخارج تستمتعون باللوحة الفنية , تلك الساحة العريقة "" بياززا ايربي .. بالتأكيد في زيارة مقبلة من لبنان بيروت سنزور هذا المكان","خدمة،مأكولات،اللحوم،الأسماك،ديكور،أسلوب،اللوحة،الساحة",1,"1, 1, 1, 1, 1, 1, 0, 1"
"
قمت بزياره ايطاليا عام ٢٠١٢ وذهبت الى هذا المطعم كمن نصحني أصدقائي ووجدته مطعم رائع و يستحق الزيارات و قامت المدام لوشيانا بخدمتنا جيدا و ان شاء لله في الزياره القادمة سنعود الى هذا المطعم الكبير","مطعم،المطعم",1,"1, 1"
"
اروع باستا يمكن أن تأكلها في فينيس،يوجد في هذا المطعم أنواع عديده من الباستا،تحضر الباستا خصيصا لكل زبون ولهذا يستغرق تحضيرها بعض من الوقت،هذا المطعم مناسب لطلب الباستا وتناولها عند التجول في طرقات فينيس،كل من يعمل في هذا المطعم يحب عمله ولهذا ستحب الباستا المقدمة لك.","باستا،المطعم",1,"1, 0"
"فعلا باستا طازجة
الباستا لذيذة جدا وطازجة وطعمها مميز جربت انواع الباستا بالخضار وجميعها شهي الكمية مناسبة ومشبعه والسعر يعتبر رخيص","باستا،الباستا،طعم،الكمية،السعر",1,"1, 1, 1, 1, 1"
"
من اجمل المطاعم التي زرتها في حياتي يتمتع بالهدوء و الرقة و فريق عمل رائع و متعاون و الطعام لذيذ والاسعار متوسطة في كل مرة اذهب البندقية سأذهب إليه
ادعوكم لتجربته","فريق عمل،الطعام،الاسعار",1,"1, 1, 1"
"مطعم سيء !
هذا المطعم في السابق كان يعتبر الأفضل في فينيسيا دون منازع،ولكن في الفترة الأخيرة تغير الحال كثيراً ... فقد قمت بزيارته مؤخراً وقد أُصبت بخيبة أمل،فالمطعم أصبح سيء جداً ولا يمكنك حتى وصفه بالمطعم العادي ... من الواضح حسب مافهمت من النادل ان سبب ذلك هو تغير ادارة المطعم وبحثهم عن المكسب المادي دون اي اهتمام بجودة الأكل. وعند زيارة المطعم فلن تجد الا السياح فقد هجره سكان مدينة فينيسيا لمطاعم أخرى ...","مطعم،المطعم،المطعم،المطعم",-1,"-1, 1, -1, 0"
"رائع بمعني الكلمه
رائع كجوده طعام وخدماته ممتازه.... هناك تناسق بين مستوي أسعاره ومستوي الخدمة اهم شئ احسسته هناك انه يهمه إرضاء العميل...","جودة طعام،خدمات",1,"1, 1"
"مطعم ممتاز جدا
انصح اي سائح عربي او غير عربي بزياره هذا المطعم الزي يشتهر بالجوده في الطعم المتميز للاطباق الايطاليه وايضان المكان المبهر الجميل علي ريفا الفوندمنت والاسعار ليسه عاليه اسعار معقوله جدا ويشتهر المطعم بالاسماك الطازجه واللحوم الطازجه ويقدم ايضا البيتزا زات الطعم المتميز انصح كل سائح زياره هذا المطعم ويتميز المطعم بالخدمه الممتازه والاكل الممتاز وحض طيب لصاحبه الاستاذ ماجد","مطعم،الطعم،المكان،الاسعار،اسعار،الاسماك،اللحوم،البيتزا،الطعم،الخدمة،الاكل",1,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
"يوم في فينيسا و اجمل موسيقي في كوفي دي قوادري
لقد قضيت ليلة حمبلية في فينيسا و خاصة عندما تناوانا الطعام مع انغام الموسيقي االرائعة في كوفي دي قوادريلقد استمتعت كثيرا انا و عائلتي بقضاء ليلة رائعة في كوفي دي قوادريي  استمتعت كثيرا بمجمعوعة الموسيقين ا لمحترفين وهم يعزفون الموسيقى الرائعة . اود ان اقول ان كوفي دي قوادري من اجمل المطاعم  الطعام لذيذ و شهي . والخدمة ممتازة المكان رائع و موسيقى وعازفين رائعين","موسيقي،ليلة،انغام الموسيقي،ليلة،الموسيقين،الموسيقي،المطاعم،الطعام،الخدمة،المكان،موسيقي،عازفين",1,"1, 1, 1, 1, 1, 1, 1, 1,  1, 1, 1,1"
"احلي و اطيب بيتزا في فينيسيا
اكلنا انا و زوجي و اولادي بيتزا بالتونة و البصل و ايضا بيتزا السجق اللذيذ
الطعم جيد جدا جدا و الخدمة غاية في الجودة و هم ودودون و الاسعار مناسبة جدا
شكرا لكم و اراكم المرة القا دمة","بيتزا،السجق،الطعم،الخدمة،الاسعار",1,"1, 1, 1, 1,1"
"المكان حلو وممتع للغايه وخاصه قريب من سان ماركو بفينيسيا ورياالتو
انا اكلت طعميه اقصد الفﻻفل طعمها جميل وكان نفسي اكل اكله مصريه وطلبتها وعملوها لي فعﻻ البرسونالي عالي الجوده وخدمه ممتعه استعمت ساعه وبعد كده شربت شاي وورجعت الي بلدي وحكتلوهم علي المكان وروعته واتمني من الجميع الزهاب اليه اﻻكل كله حﻻل واسﻻم امانه","المكان،الفلافل،خدمه،اكل",1,"1,1,1,1"
"متعة المكان ولذة الطعام
حين تود ان تشاهد امامك منظر البحيرة الخلاب وانت تتناول طعاماً شهياً
لايوجد اجمل من هذا المطعم في hotel dulac
في بيلاجيو الخلابة","الطعام،منظر البحيرة،طعام،بيلاجيو",1,"1,1,1,1"
"رائع جدا
اجمل مكان ممكن ترتاح في الاقامه فيه عندم تزور الكومو واسعاره مناسبه جداا واكل مميز جداا جداا وخصوصا اسماك طازجه وطباخ ممتاز و خدمه مميزه جداا","مكان،اسعار،اكل،اسماك،طباخ،خدمه",1,"1,1,1,1,1,1"
"
ا نه مطعم يمتاز بجوده في الطعام الايطالي والخدمه الممتازه ان المساحه البسيطه تجعله جميل حيث ان المطعم يكفي خمسون زبون مما يجعل الخدمه مميزه في الطعام و الشراب والحلو","مطعم،الخدمه،المساحه،المطعم،الخدمه",1,"1,1,1,0,1"
"
.انه جميل جدا و الأكل رفيع المستوى انا انسح لل كل من يريد ان يتمتع أو أن يأكل انه مميز يستحق كل شي لل اعراس حفلات غنائية لل اطفال صغار و كبار",الأكل,1,1
"مكان مذهل
استمتعت كثيرا مع اسرتي وتذوقنا وجبات جديده علينا كانت شهية و لذيذه وقدمت بطريقة راقية ... كم انه كان مكان مناسب جدا لقضاء وقت ممتع مع الاسره ... وهنا انتهز الفرصه لاوجه شكري الخاص للمشرف على ادارة المطعم لحسن الضيافة والمعاملة الراقية ... وفي زيارتي القادمة الي بيروجيا بالتأكيد سأكرر تناول وجبه اخرى هنا في هذا المطعم الرائع","مكان،وجبات،طريقة،مكان،وقت،شكر،الضيافة،المعاملة،المطعم",1,"1,1,1,1,0,1,1,1,1"
"لا تفكر مرتين "" لحم طري وجو مريح ودود""
ذهبث في رحلة استجمام مع العائلة،واصدقاء في المنطقة اوصوني بالذهاب الى مطعم ارجنتينا ببروجا،والصح يقال كان يستحق الذهاب،الطعم الممتاز للأكل واخص بالذكر طريقة طهو وتقديم اللحم والمعاملة الجميلة والمريحة لكل طاقم المطعم وبالذات للمسئول عن الخدمات والمطعم،فإني اوؤكد على العودة مراراً ومراراً لنفس المطعم دون تردد. وشكراً مصطفى حشاد","لحم،جو،الطعم،المعاملة",1,"1,1,1,1"
"مطعم ممتاز،طعام لذيذ و موقع مميز
لقد اكتشفت هذا المطعم خلال زيارتي ال جزيرة صقلية هذا الصيف. كنت خارجتاً من المتحف و قررت تجربة المطعم المجاور. لقد احببت الحديقة و طلبت تناول الطعام فيها. ديكور المطعم في الداخل حديث،مزيج من الابيض و البنفسحي. طلبت كطبق اولي كارباشيو سمك. كان السمك طاذجاً جداً و يذوب في الفم. ثم طلبت كطبق ااساسي الشالاتللي مع القريدس الزهري. طبق الباستا كان ولا اروع. القريدس محضر بطريقة فنية تظهر براعة وتفنن الطباخ. انهيت هذه المادبة ب تحلية البانا كوتا مع فاكهة التوت. ختام غذاء ممتاز يساوي اكبر طباخي فرنسا. تجربتي مع هذا المطعم كانت راءعة واتمنى ان اعود ال هذا المكان قريباً. ان هذا المطعم هو خير سفير للمطبخ الاطالي و الصقليي. اهنىء الطباخ و مالك هذا المطعم على الاكل و الخدمة الخبيرة و الراءعة. يجب على كل زاءر لمدينة شيفالو ان يجرب هذا المطعم. فلن يندم.","مطعم،طعام،موقع،المطعم،السمك،طبق الباستا،طريقة،الطباخ،غذاء،تجربة،الاكل،الخدمة",1,"1,1,1,1,1,1,1,1,1,1,1,1"
"مطعم رائع
مطعم رائع وأكلهم لذيذ،،،،ومعاملتهم ممتازة
اكلت عندهم tagliolini con le vongole 👍
والبيتزا عندهم شهية وتقييمي له ممتاز","مطعم،مطعم،أكل،معاملة،البيتزا،تقييم",1,"1,1,1,1,1,1"
"وجبة لذيذة فى مطعم مميز
أثناء زيارتى لمدينة فلورانس بأيطاليا فام أحد اصدقائى بدعوتى على العشاء فى هذا المطعم....... مطعم بيسترو ديل مارى....مكان ساحر و جميل و مميز فى أرقى منطقة بمدينة فلورانس......لقد استمتعت بوجبة لها مذاق مختلف فى غاية الروعة هذا بالأضافة الى الجو الساحر للمكان و الخدمة المميزة لجميع العاملين بالمطعم .....لقد أمضيت هناك امسية لن أنساها فى حياتى.....تحية كبيرة الى مدير المطعم الذى استطاع فى النهاية ان يقدم لنا هذة السيمفونية الجميلة التى تجمع بين وجبة لذيذة و خدمة مميزة و جو ساحر شكرا نيفين عدلى من القاهرة","وجبة،مطعم،مكان،منطقة،مذاق،الجو،الخدمة،امسية،السيمفونية،وجبة،خدمة،جو",1,"1,1,1,1,1,1,1,0,1,1,1,1"
"مطعم روعه بالطعم وبالاطلاله
بصراحة رحت عدة مطاعم ايطاليه حول العالم ولكن ما شفت مثل لذة الباستا بهالمطعم طعمها ولا بالخيال،وللعلم اطلالته على المدينة بكاملها من فوق التله،وضروري تجربون التيراميسو بالفراوله اللي عندهم لانها غير كل اللي جربتهم بايطاليا .","مطعم،الباستا،طعم",1,"1,1,1"
"لذة الطعام وجمال المكان وحسن الضيافة
مطعم قلما تجد مثله في دولة اوروبية
الطهي الممتاز ولذة الطعم
بالاضافة الى الخدمة الرائعة والتعامل الجميل وحسن الضيافة يشعرك انك مدعو لديهم وليس فقط زبون
المكان جميل والجلسة هادئة
يستطيع ان يقدم لك طعام سريع في حالة اغلاق موعد المطعم","الطعام،المكان،الضيافة،مطعم،الطهي،الطعم،الخدمة،التعامل،الضيافة،المكان،الجلسة،طعام",1,"1,1,1,0,1,1,1,1,1,1,1,1"
"لذذذذيييييييذذذذذ
لقد استمتعت بعشائي اللخير في فلورانس فب هذا المطعم الجميل. ما احلى الماكولات البحريه عندهم...","عشاء،المطعم،الماكولات البحريه",1,"0,1,1"
"مجرد مثالية
الطعام الممتاز والموظفين كبيرة. الجو رائع. هذا هو أفضل مطعم إيطالي في فلورنسا. تأخذ اللحوم والمعكرونة والفلفل بهم بسبب انها مجرد لذيذ.","الطعام،الموظفين،الجو،مطعم،الللحوم،المعكرونة،الفلفل",1,"1,0,1,1,1,1,1"
"ما أجمل هذا المكان
ليله من ليالي العمر امضيتها في هذا المكان ذو سحر المنظر من أعلى الجبل و كرم الضيافه الذي يدل على أصالته و ألاكل الرائع. و بالاخص الستبك.","المكان،المكان،الضيافة،الأكل",1,"1,1,1,1"
"
في هذا المطعم أنا قد أكلت جيدا. الغذاء لذيذ والمكان طيب للغاية،والطهي الإيطالية جيدة جداً. تهانينا للطهاة والموظفين.","الغذاء،المكان،الطهي",1,"1,1,1"
"مطعم إيطالي
جميل وكلاس مررررره عنده أطباق غريبه اطلب المنيو الي فيها سيفود بس مطعم مافيه اكثر من ٨ طاولات وغير كذا هدوااااا وميوزك خفيف مره","مطعم،أطباق،مطعم",1,"0,0,-1"
"مطعم هندي
جمييييييل أكلهم كل شيً عندهم حلو واهم شيً نظيف مرررررررره يشابه اكل مكاني في الرياض بس احلي ديكور والي يشتغلون عائله هنود حريم ورجال","مطعم،ديكور",1,"0,1"
"مكان رائع يعيدك الى الاجواء العربية
 وحظينا باستقبال وترحيب من قبل النادل كان ودود ولطيف في التعامل معنا وساعدنا باختيار الطبق المناسب
وكان الاكل لذيذ ومشهي وشربنا الشاي الاحمر بالقرفة والقهوه العربية الاصيلة وكل شيئ كان راااائع","مكان،النادل،الطبق،الاكل،كل شيئ",1,"1,1,1,1,1"
"من احلى مطاعم سيرموني
مطعم رائع جميل واكله حلو ولذيذ وقريب من سيرموني
وعندهم المؤكلات البحرية لذيذة
والمطعم واسع وقعداته جميلة وطاقم العمل متعاونين","مطعم،اكله،المؤكلات البحرية،المطعم،قعداته،طاقم العمل",1,"1,1,1,1,1,1"
"أحسن مطعم فى المنطقة
منذ سنوات هذا المطعم يتميز بكيفية عظيمة من الطبخ التقليدية و هو يواجه الميناء فى هذه المدينة الصغيرة الرائعة. أنا أوصي به بشدة. استمتع.","المطعم،مطعم،المدينة",1,"1,1,1"
"البيتزا لذيدة
المكان جميل جدا والاكل طيب والعاملين فيها كلهم شباب مع الابتسامة الجميلة والخدمة السريعة وشكراواستمتعتو مع اصدقائي والمكان جميل في منطقة هادئة والمعاملةوالخدمة جيدة واكل المطبخ طيب والبيتزا طيبة جدا","البيتزا،المكان،الاكل،العاملين،الابتسامة،الخدمة،المكان،منطقة،المعاملة،الخدمة،اكل المطبخ،البيتزا",1,"1,1,1,0,1,1,1,1,1,1,1,1"
"المطعم الرائع
كل شىء جمىل ولذىذ سمك وعجائن لذيذة استقبال متميزاطلالة جميلة على الشاطىء وصاحب مطعم خفيف الظل ومرح ,تشعر انك تستمتع بكل شيء,بالفعل خدمة متميزة ومطعم متميز شكرا","المطعم،سمك،عجائن،استقبال،اطلالة،صاحب مطعم،خدمة،مطعم",1,"1,1,1,1,1,1,1,1"
"
مطعم من المطاعم الرائعة التي تمتعنا فيها بالاكلات البحرية والعجائن الايطاليا الذيذة اضافة الى الخذمة المتميزة والدعابة اللطيفة من صاحب المطعم ""vinicio"".شكرا","المطاعم،الاكلات البحرية،العجائن الايطاليا،الخدمة،الدعابة",1,"1,1,1,1,1"
"ممتاز
بيتزا الإيطالي العظيم.
كبيرة في الأسعار.
نوعية ممتازة.
جيد جدا بيتزا مارجريتا وكرات الأرز.
أوصت لأولئك الذين يرغبون في تناول الطعام بشكل جيد وقضاء الحق","بيتزا،نوعية",1,"1,1"
"
شريط كبيرة
القهوة الإيطالية جيدة جدا.
البيئة صغيرة جدا ومريحة،
كبيرة لكسر صغير من العمل
السعر المناسب لتناسب جميع الميزانيات.
يبدو أسرة محلية واحدة صغيرة ليكون في الأسرة","شريط،القهوة الإيطالية،البيئة،السعر",1,"0,1,1,1"
"مطعم رائع بسعر معقول
 يقدم مستوى عال من المأكولات بسعر معقول.موقع جميل في الساحة الرئيسية يمكنك من سماع الموسيقى من الساحة. الموظفون لطفاء و قائمة الطعام فريدة.","مطعم،سعر،موقع،الساحة،الموظفون،قائمة الطعام",1,"1,1,1,0,1,1"
"لا شي
ذهبنا للمطعم للعداء وطلبنا سندوش دجاج
وكان طعمها عادي جدا
والمطعم صغير جدا
و لا بستحق اي طراء
ويقع مسافه بعيدة عن وسط روما
لذلك لا انصح به","طعم،المطعم",-1,"0,-1"
"مطعم جيد جدا
أكلت في هذا المطعم البيتزا جيدة حقا والمعكرونة ممتاز الأولاد الموجودة هناك لطيفة ومهذبة وأيضا هناك واحد يتكلم عربي","مطعم،البيتزا،المعكرونة،الأولاد",1,"1,1,1,1"
"اكثر من رائع
كنت في رحله الى روما وتناولت الطعام انا وزملائي الطعام في هذا المكان الرائع
مصطفى استقبلتنا بسرعة ترتيب على طاولة 2. الخدمة والطعام كان جيداً.
كانت الأسعارقد تكون خياليه لقد طلبت البيتزا،بعض أطباق المكرونة. جاءوا بسرعة كانت جيدة جداً.
سنعود بالتأكيد عندما تكون في ايطاليا
احب في النهايه ان اشكر فريق العمل بهذا المكان","الخدمة،الطعام،الأسعار",1,"1,1,1"
"الاجواء الشرقية
المطعم عربي لبناني
الاجواء جميلة
الجلسة الخارجية حلووة
الجلسة الداخلية مريحة
الاكل لذيذ جدا ومتنوع
الخدمة رائعة.","الاجواء،المطعم،الاجواء،الجلسة الخارجية،الجلسة الداخلية،الاكل،الخدمة",1,"0,0,1,1,1,1,1"
"اقوي مسا عليك ياشيف ميمو
الطعام رائع خاصه البيتزا والمكرونات
المكان قمه في الروعه عند شروق الشمس وغروبها ويتميز المكان بركن خاص لمدخني الشيشه. الخدمه ممتازه.
انصح بهذا المكان لمن يحب التميز
انه المكان المناسب للشباب والعائلات.","الطعام،المكان،الخدمه،المكان",1,"1,1,1,1"
"روعة
كنت هناك في روما أنا وزوجتي تناولنا الغًذا هذا المطعم الاكل لذيذ الخدم في كمل الروعة انصحكوم بيهي هنا هنا هنا في المطعم","الاكل،الخدم",1,"1,1"
"ممتاز
الجو العام للمطعم رائع و الأكل لا يعلى عليه وخصوصا البيتزا الرومانيه الأصليه. و السيرفس جباار و الأخ روبرت ""مصري"" كان فوق الممتاز من ناحيه الخدمه و المعلومات.","الجو العام،الأكل،السيرفس،الأخ روبرت",1,"1,1,1,1"
