Column1,Sentences,Aspects,Sentences Sentiment,Aspects Sentiment
12,"كزباقي >> جورجيا <<< 
الريف الرائع لدولة جورجيا ..تبعد عن تبليسي 160كيلومتر ...بالسيارة الخاصة مع سائق 150لاري ذهااب واياب ..200لاري اذا ارت ان تصور وتتوقف في اي مكان ....160كيلو كلها رائعة بين الهواء النقي والطبيعة البكر والانهار وجاول المياة والثلووووج
","الريف، السيارة، الهواء، الطبيعة، الانهار، جاول المياة، الثلوووج",1,"1,1,1,1,1,1,1"
13,"كورنيش 
مكان جداً جميل وراقي السياحه البحريه ممتازه اسعارهم مناسبه ، اهم شي تركزون هنا علئ لحم الخنزير والكحول
","مكان، السياحة البحرية، اسعارهم، لحم الخنزير",1,"1,1,0,1"
14,"النافوره الراقصة 
تقع النافوره الراقصة بجوار الدوار الأوروبي و جسر السلام الزجاجي وهو هندسة معمارية مميزة و التلفريك وهي بالليل أفضل من النهار من الأماكن التي يحرص زوار جورجيا حضور عرضها
","النافورة، جسر السلام الزجاجي، التلفريك",1,"1,1,1"
15,"قرية جميلة 
قرية ويجيز
من اجمل القرى السويسرية والطبيعه فيها روعه الجبال والبحيرة
والقرية هادية وانصح الجميع بزيارتها
","قرية، القرى السويسرية، الطبيعه، الجبال، البحيرة، القرية",1,"1,1,1,1,1,0"
16,"رحلة ممتعة 
المكان قمة جبل بيلاتوس وهو على ارتفاع 2200 متر عن سطح البحر بعد وصول للنقطة الانطلاق فى الاسفل سيتمصعودكم للقمة عن طريق قطار جبلى توجد به 3 عربات وسيكون صعود رائع يمكنك التقاط الصور وانت تصعد الى اعلى ويمكنك روية الشجار العالية حتى وصول ارتفاع 1800 عندئذ مستوى النبات ينتهى ومن ثم الجبال حتى القمة  يوجد مطعمين فى القمة ويمكنك قضاء وقت رائع وجميل لاتنسى ان تحضر معك ملابس دافءة وقفازات وخلافه
","رحلة، قمة جبل بيلاتوس، صعود، الشجار، وقت، ملابس",1,"1,0,0,1,1,1"
17,"أفضل الموجود 
هوه عباره عن سوبرماركت يتكون من عدة طوابق مثل كارفور وأسعاره أقل بكثير من الباقي على سبيل المثال سفن اليفن، مناسب للاشخاص الذين يقيمون بسيول مده طويله.
","الموجود، وأسعاره، للاشخاص، مده",1,"1,1,0,1"
18,"رائع جدا ، اﻻطﻻله على المدينه رائعه 
يمكن الوصول الى التليفريك( namsan cable car) الذي سوف يوصلك الى البرج بالتكسي أو بالميترو Myeong-dong line 4
هو عباره عن برج شاهق وإطﻻلته الرائعه على مدينة سيول وضواحيها ويوجد تحته العديد من الفعاليات والمقاهي ومتحف الدب ( تيدي بير ) إذا كان معاك أطفال أنصح بزيارته.
","الاطلاله، التليفريك، برج، إطلالته، زيارته",1,"1,0,1,1,1"
19,"اطلالة بانورامية 
زيارتها في النهار افضل من المساء .. ولكن بشكل اجمال جيده جدا
","اطلالة، زيارتها",1,"1,1"
20,"ممتع 
حبيت الاجواء في الشارع والشوارع الي حوالينه ممتعه ، لكن شارع انسادونغ هو تقريبا شارع للسوفنير وفيه كذا محل للباس الهانبوك وفيه محلين لبيع ادوات الرسم واحد منهم بتلاقي علي الباب صورة الملكه اليزابيث وصورة ملكة ثانيه نسيت مين لما زارو المحل واخذو من عنده اختام ،في كذا محل بسيط يسوي حلى شعبي كوري بالعسل والنشا ويسووه قدامك لا يفوتك لذيذ جدا ، انصح بزيارة الشارع في اخر الرحله :)
","الاجواء، شارع انسادونغ، حلى شعبي كوري بالعسل والنشا، زيارة الشارع",1,"1,0,0,1"
21,"أكثر من رائع 
هو عباره عن عرض كوميدي صامت وموسيقي رائع تدور أحداث العرض حول طباخين بمطعم تحدث بينهم مواقف طريفه ومضحكه ،والميزه الرائعه بالعرض أنه صامت وﻻ حاجه لمترجم كوري ، ويصلح للاطفال، أنصح بمشاهدته والحجز مسبقا عن طريق اﻻنترنت للحصول على خصم والمشروب المجاني.
","عرض كوميدي، العرض، المشروب",1,"0,1,1"
22,"رائعه جداُ و ممتعة 
من ذهب الى كوريا و لم يذهب الى هذا المكان فأنه لم يذهب الى كوريا
",المكان,1,1
23,"شبيهه بديزني ﻻند الى حد كبير 
مدينة ملاهي رائعه وضخمه ويوجد جزء مغطى واﻻخر مكشوف وبها العديد من اﻻلعاب الحديثه والسريعه من أفعونيات والسقوط الحر وغيرها من اﻻلعاب ولكن يوجد مشكله وهي مدة اﻻنتظار بالدور عند كل لعبه حتى في أوقات الدوام أو وسط اﻻسبوع لكنها أخف من أوقات اﻻجازات أو نهاية اﻻسبوع.
أنصح بزيارتها ويفضل أن تكون مجموعه كبيره أو شباب.
","مدينة ملاهي، الالعاب الحديثه، مدة الانتظار، زيارتها",1,"1,0,0,1"
24,"معرض رائع للاطفال 
عباره عن معرض موجود تحت البرج وهو للدمية تيدي الدب ويحكي قصة الكوريين والتاريخ الكوري بمجسمات من الدببه بطريقه إحترافيه .أنصح بزيارة، يوجد مثيل لهذا المعرض في جزيرة جيجو.
","معرض، طريقة، زيارة",1,"1,1,1"
25,"سريع و سهل 
يختصر لك الوقت ويغنيك عن جميع المواصلات الاخرى .. سهل التنقل و سريع الخدمة
","الوقت، المواصلات، التنقل، الخدمة",1,"1,1,1,1"
26,"ممتعه بجد 
هي عباره عن ٥ او ٦ مناطق للتنزه ، اول ما توصل اسالهم عن الخريطه كل مكان حسيته احلى من الثاني انبسطت جدا ولا تنسو تشترو الايسكريم اللذيذ من الاكشاك الي بالنص ،القريه الشعبيه فيها اكل كوري بس ما انصح فيه عموما تمنياتي بزياره ممتعه
","الايسكريم، اكل كوري، زياره",1,"1,0,1"
27,"العوده للطفولة 
يعطيك المتحف نوع من الابتسامه المصحوبة بالاحساس الطفولي ، وهو من الاشياء التي لا تستطيع ان تتجاهلها ادا كنت في كوريا مع العلم انه يوجد5 متاحف teddy bear في كوريا منها واحد في نامسان سيؤل ، لا تنسى الدخول لمسرح الفيس الذب جدا جميل ،حديقة المتحف جميله انصح الجميع بزيارته
","المتحف، الاحساس",1,"1,1"
28,"حيوي 
ستلتقط الكثير من الصور هنا فلا تنسى ان تشحن كاميرتك او جهز تلفونك :) عجبني التصوير مع المجسمات والصور ثلاثية الابعاد
انصح جدا بزيارته كمجموعه
","الصور، التصوير مع المجسمات، الصور، زيارته",1,"1,1,1,1"
30,"مكان رائع 
يوجد عدة شلالات وكلها رائعه لكن الوصول اليها متعب بعض الشئ لكثرة الادراج فإذا كان معك أطفال فالله يعينك على حملهم بالنزول والطلوع من منطقة الشﻻﻻت.وهي قريبه جدا من الفنادق ال 5 نجوم في المنطقه.أنصح بزيارتها
","مكان، شلالات",1,"1,1"
31,"عادي 
لو ماكان من ضمن الجدول تبع التور ماكنت رحته ، ممر طويل عباره عن انبوب تشكل من البركان لكن بالشكل العام ك اي كهف ثاني ماشفت فيه اي تغيير يمكن لاني مش مغرمة جيولوجيا او طبيعه من هالنوع ، عموما هذا راي شخصي وبالمقابل حديقته جميله وممتعه
","ممر، جيولوجيا، طبيعه، حديقته",-1,"1,-1,-1,1"
32,"رااااااائع 
نعم مكان رائع مع تسلق الجبل والتمتع بالمناظر الخلابة
فعلا جيوجو جزيرة من اروع الجزر التي زرت
ولي عودة مرة أخرى
","مكان، تسلق الجبل، التمتع بالمناظر، جيوجو",1,"1,1,1,1"
33,"ممتعه للكبار والصغار :) 
حديقة او ارض المجسمات الصغيره معروفه تقريبا لمعظم البلدان ولكن كل مكان له طعم ثاني ، المكان مميز وممتع للكل ، يوجد في شرق الجزيره مع العلم ان في واحد ثاني بنفس المجسمات تقريبا ولكن اصغر اسمه soinguk miniature theme park
ارشح الكل يروح ويشوفه لو عنده وقت
","حديقة، المكان",1,"1,1"
34,"جميل جدا 
بالرغم من عدم فهمي الكامل لللغة الكوريه لكن العرض كان ممتع جدا ومميز ، الاجواء مرحه انصح الكل بزيارة العرض ممتع للكبار و للصغار
","العرض، الاجواء، زيارة العرض",1,"1,1,1"
35,"احلى شي رائع جدا 
من احلى الحدائق بجد
تتضمن نوع من الاشجار ما يكبر بالحجم ولكن العمر ممكن يوصل الي 1500 سنه مما يجعلها اشجار نادره جدا اسمها بالياباني بونزاي وبالكوري بونجي وبالصيني صراحه نسيت ولكن نفس الاسم تقريبا :)
من المشجعين على زيارة المكان مع التنبيه على المحافظه على عدم لمس الاشجار واحترام المكان
",الاشجار,1,1
37,"مناسب للاطفال 
مكان مناسب للاطفال وقريب من الفنادق الخمس نجوم في المنطقه ،طبعا العرض باللغه الكوريه، عموما العرض ممتع للاطفال ومدة العرض 50 دقيقه وسعر التذكره للكبار 12000₩ و لﻻطفال ب 8000₩.
","الفنادق، العرض، مدة العرض",1,"1,1,0"
40,"مناظر آخاذه 
موقع اختير من قبل منظمة اليونسكو كتراث عالمي طبيعي ، ولتصل لفوهة البركان متعب بالمشي يعني تحتاج تقريبا 30 دقيقه فقط لتصل للقمه ولكن في النهايه المنظر والمكان يستحق بجداره
من اروع المناظر في جيجو انصح الكل بالذهاب اليها طبعا لا تنسى ان تلبس جزمة مريحه
","مناظر، موقع، المشي، المنظر، المكان، المناظر",1,"1,1,-1,1,1,1"
41,"كوريا 
من افضل الاماكن اللتي زرتها .. رائعه جدا و ممتعه ولابد من زيارتها قمت بزيارتها مرتين في سنتين ممتتاليه و عند زيارتي لكوريا مره اخرى بالتأكيد سأزورها
","كوريا، زيارتها",1,"1,1"
42,"من افضل الاماكن 
من افضل الاماكن اللتي زرتها .. رائعه جدا و ممتعه ولابد من زيارتها
قمت بزيارتها مرتين في سنتين ممتتاليه و عند زيارتي لكوريا مره اخرى بالتأكيد سأزورها
",الاماكن,1,1
43,"korea 
أحب القوارب و السفن الكبيرة و الطائرات و كل شيئ على هذه الارض و أحب كوريا و احب يونا و فرقة snsd كلها
","القوارب، السفن، الطائرات، كوريا، يونا، فرقة",1,"1,1,1,1,1,1"
45,"انترلاكن جمال وجمال 
المطر والثلج والسحاب والبساط الاخضر روعة في كل شئ اسميها المدينة الحالمة
","انترلاكن، المطر، الثلج، السحاب، البساط الاخضر، المدينة",1,"1,1,1,1,1,1"
46,"الغيوم والجبال و الأرض و البحر والطبيعة يلتقيان في لحظة واحدة ومنظر واحد 
نظرة واحدة الى الأفق وانت في هذه البحيرة كافية تماما لكي تنسى ضغط العمل , الغيوم الجبل و الأرض و البحر والطبيعة يلتقيان في لحظة واحدة ومنظر واحد , يسر ناظريك ويشعرك بجمال المدينة , من تجربة شخصية فقد قطعت تذكرة بحرية لمدة ساعتين , لا أعلم كيف انقضت في دقائق .
",,1,
47,"Unique 
بحيرة مدينة جنيف الشهيرة بأعلى نافورة تعتبر من اهم اماكن الجذب السياحي في المدينة. و تمتاز بالمناظر الخلابة و خاصة اذا اشتركتم بالرحلات بالزوارق و البواخر السياحية .
و المطاعم الموجودة على ضفاف البحيرة انيقة و الماكولات لذيذة لكن الأسعار غالية ، مع ذلك فهي تستحق الزيارة و التمتع.
","بحيرة مدينة جنيف، نافورة، المناظر، المطاعة، الماكولات، الأسعار",1,"1,1,1,1,1,-1"
48,"منظر خلاب 
في الحقيقة فقد استمتعت في الرحلة البحرية في بحيرة جنيف , في البحيرة يمكنك رؤية الجبل والأرض والبحر , جو رائع ممتع , يمكنك الحصول على برونزاج للوجه مجانا عند قضائك للرحلة البحرية لمدة ساعتين
","منظر، الرحلة البحرية في بحيرة جنيف، جو",1,"1,1,1"
49,"رائعة فعلا 
سمعت كثيرا عن بحيرة جنيف ونافورتها الشهيرة ورأيت صورها قبل أن أسافر لسويسرا وحين وصلت جنيف كان أهم مكان أرغب بزيارته هي البحيرة التي أستمتعت كثيرا برؤيتها والجلوس على ضفافها في يوم بارد وممطر ومع هذا لم يمنعني من الإستمتاع وشرب فنجان قهوة وانا أتأمل البحيرة وألتقطت صور جميله لها ومع البط فيها .. ثم أختتم الزيارة بجولة في قطار يجول حول البحيرة .. ولاأظن أن أحد يسافر إلى جنيف ولايذهب للبحيرة فهي من أجمل معالمها
","بحيرة جنيف، نافورتها، البحيرة، رؤيتها، الجلوس، يوم، صور",1,"1,1,1,0,-1,1,1"
50,"بحيرة جنيف 
بحيرة ليما او كما يسميها البعض بحيرة جنيف، تطل كل من سويسرا وفرنسا على هذه البحيرة، فالبنسبة للجانب السويسري نطل على البحيرة مدن اشهرها جنيف ولوزان ومونترو، اما الجانب الفرنسي فيمكن القول مدينة افيان وايفوار. بحيرة جنيف يوجد فيها ممشى ومقاهي عادية وليست على مستويات راقية ، ويوجد مراكب تعد جولات بحرية تشمل عدة مدن وقرى تطل على البحيرة، وتمتاز البحيرة بنافورتها المشهورة، يجب اخذ الحذر حين التمشي هناك من ناحية النشالين، والنصابين اللذين يلعبون الورق.
","بحيرة ليما، بحيرة جنيف، مقاهي، مستويات، جولات، نافورتها، النشالين، النصابين",1,"0,0,0,-1,1,1,-1,-1"
51,"جميل 
جميل , الساحة في العادة تعتبر من اشهر الساحات وفيها رقع شطرنج على البلاط كبيرة لمحبي اللعبة الأذكى في التاريخ
",الساحة,1,1
52,"جنيف - ساعة الورود 
ساعة الورود في جنيف موجودة لتؤكد ان مدينة جنيف عاصمة الوقت والرائحة العطرة في العالم - حيث الوقت يرمز للساعات و الرائحة العطرة للورود
","ساعة الورود، مدينة جنيف، الرائحة",1,"0,1,1"
55,"جميل 
متحف جميل وهادئ للغاية , غير التحف الموجودة رائعة داخل المبنى , يعتبر المتحف قريب لمبنى الأمم المتحدة وقريب جدا لفندق أنتركونتننتال
","متحف، التحف",1,"1,1"
57,"أنا أحب هذا المكان 
دون شك، أجمل، محطة القطار الكاملة والرائعة التي كنت أرى في هذه الحياة. بارك الله هذه البقعة السياحية الرائعة. يقدم هذا محطة القطار كافة الخدمات التي يحتاجها المسافر مكتبة، مطعم، عصير البرتقال الطازج، والمصاعد، والسلالم،، كل شيء طوابق عديدة. ولكن لا يزال لدي شيء لأقوله. بشكل لا يصدق، ويدفع الحمام. دفع اثنين فرنك للذهاب إلى المرحاض هو شيء لا يصدق. أحتج ضدها.
","المكان، محطة القطار، البقعة السياحية، محطة القطار، عصير البرتقال، طوابق، الحمام",1,"1,1,1,1,1,1,0"
58,"قمة الجمال 
بحيرة جميلة زرتها مع العائلة والجميع اعجبته .،كانت الزيارة في صيف 2013 و من اجمل الاماكن التي زرتها ، وانصح بزيارتها فهي مكان جميل ونظيف والجو لطيف جدا ،اتمنى اعادة الزيارة اكثر من مرة .
","بحيرة، مكان، الجو",1,"1,1,1"
59,"مكان لطيف على القلب 
مناطق هادئة وجميلة ... في شهر أغست والأمطار والجو الجميل البارد أحيانا يجعلك لا تمل من التمتع بمناظر الجبال الرائعة أمام البحيرة.
","مكان، مناطق، الجو، مناظر الجبال",1,"1,1,1,1"
60,"يستحق الزيارة 
مكان جميل ورائع ويستحق خمسة نجوم وأنصح لمن لديه أطفال باصطحابهم وعمل زياره الى هناك علما بان مدة الرحلة حوالي ساعة مع القطار
",مكان,1,1
61,"يستحق ذلك! 
أنا من بلد، F1 - فنلندا !
لذا، يجب أن على الذهاب ، نعم .....
وأنا احبها بالفعل ; كل شئ منظم جيدا!
",كل شيء,1,1
62,"روح المغامرة 
تعودت في بلدي أن أستمتع بالثلج في زمن شتوي ....لكنني لم أدرك أن للثلج محطات صيفية أخرى في موقع آخر من على الكرة الأرضية..... حجزنا تذكرتين لقمة يونفراويوخ من محطة وادي لوتربرونن القريب من مدينة إنترلاكن السويسرية....وكانت الرحلة عبر القطار وعلى ثلاثة مراحل....وكانت المناظر الطبيعية الخلابة تتغير مع كل مرحلة, فكلما صعدنا للأعلى كان الإخضرار يتلاشى تدريجيا...وطبعا البرودة تزداد ...والأوكسجين يقل... وصلنا للقمة وكان اللون الأبيض هو سيد الموقف الذي يتعانق مع برودة لا مثيل لها مع أشعة شمس حارقة تدخلك في عالم غريب للغاية...ثلج وشمس وبرودة...حقاً للمغامرة لحظات جنونية....","الثلج، زمن، محطات، موقع، المناظر الطبيعية، الإخضرار، البرودة، الأوكسجين، أشعة شمس، لحظات",1,"1,1,0,0,1,1,1,-1,-1,1"
62-1, كانت اولى محطاتي مع جنون طفولي عندما إستلقيت في (دونات) وإنطلقت بسرعة جنونية في منحدرات الثلج ومطباته ...لأصل لأسفل المنحدر...فيستقبلني سير كهربائي ليساعدني للصعود مرة أخرى لقمة المنحدر..... قمة يونفراويوخ تسمى قمة أوروبا...وهي تستحق المغامرة في مزيج رائع يجمع الجمال والشمس والضحكات والتأمل ....والتسبيح للخالق لابد من حمل أكثر من كاميرا لها خاصية التصوير في مناطق ثلجية  وكريم واقي لإستعماله أكثر من مرة ألبسة شتوية حذاء من نوع خاص يساعد على التسلق بالثلج ولا تنسى أن تختم رحلتك بكوب من القهوة العربية مع حبات تمر........مع أجمل المناظر الطبيعية التي تجعل لسانك يلهج ب: سبحان الله وبحمده....سبحان الله العظيم ملاحظة: من الممكن حصول هبوط في الضغط لقلة الأوكسجين يستدعي الراحة لمدة 5 دقائق لحين عودة الدورة الدموية بشكل طبيعي بعد التعود على هذا النوع من الإرتفاعات أتمنى لكم رحلة سعيدة فاطمة,"جنون، سرعة، مزيج، المناظر، الدورة، رحلة",,"1,-1,1,1,0,1"
63,"الأدرينالين! 
مع هذا السباق المثير جداً يرتفع مستوى الأدرينالين وتتحقق معنى المغامرة! وسائل الأمان جيدة ولكنك تحتاج أيضاً إلى الدمج بين الحذر والسرعة. الشيء الوحيد الذي لم يعجبني هو أن بعض بدلات السباق حالتها غير جيدة نتيجة كثرة الاستخدام! جدير بالذكر أن هذا النشاط غير محبذ للحوامل  الوقت الذي يمكن ان تستغرقه منذ لحظة الدخول وحتى الخروج هو ساعتين على الاكثر متضمنة المحاضرة السريعة عن السلامة وكيفية القيادة الصحيحة
","السباق، وسائل الأمان، بدلات السباق، النشاط، المحاضرة",1,"1,1,-1,-1,1"
64,"تجربة رائعة للغاية 
تجربة ممتعة جداً واحساس رائع حين تركض وفي ثواني تجد نفسك بين السحاب.. شعور لا يوصف أوصي به بشدة.. ومع أنني أخشى المرتفعات إلا أنني تحديت الخوف ومنحت نفسي هذه التجربة التي أتمنى تكرارها.. المدرب أولي كان شديد الاحترافية وشجعني كثيراً..
","تجربة، احساس، شعور، المرتفعات، التجربة، المدرب",1,"1,1,1,-1,1,1"
65,"الافضل 
من اجمل المغامرات اللي لقيتها في انترلاكن مغامرة من نوع اخر طبعاً كنت فيها انا وصديقي الحجز كان عن طريق التلفون ومباشره جو واخذونا من المكان اللي كنا فيه
* موقعهم غير اللي مبين هنا
كنا مع شخصين محترفين ومجموعة محترفه
وبيرني ايدي
ومرحين في نفس الوقت الرحلة تقريباً تاخذ ثلث ساعه او نصف
صراحة يستحق كل فرنك دفعته ،،،
","المغامرات، موقعهم، شخصين، مجموعة",1,"1,-1,1,1"
66,"مكان رائع.. العمارة مميزة 
تحفة فنية في العمارة الاسلامية. المكان صغير لكن المسجد تصميمه رائع ويستحق الزيارة. يوجد وقت مخصص لغير المسلمين لزيارته
","مكان، العمارة، المكان، تصميمه",1,"1,1,-1,1"
67,"يستحق الزيارة 
لمن يرغب بالتعرف على البحرين عليه أن يجعل المتحف محطته الأولى. المتحف مقسم إلى عدة أقسام تحكي تاريخ البحرين وتتابع الثقافات على أرضه. بشكل عام مرضي وتجربة تستحق من الزائر تخصيص بعض الوقت لزيارته.
","المتحف، تجربة",1,"1,1"
68,"موقع مميز ومتحف مذهل 
متحف مميز ويحتوي على تقسيمات رائعة
موقع المتحف مميز على البحر ولاقى اهتمام كبير من قبل الحكومة البحرينية
متحف نشعر بالفخر نحن كعرب وفيه ميلان كثير لماضي البحرين
","موقع، متحف، تقسيمات، موقع المتحف",1,"1,1,1,1"
69,"سيء 
الخدمة غير لائقة والنظافة غير ما متوقعة وكنت على امل ان يكون المكان افضل من ذالك لقضاء اجازة وقررت عدم الذهاب مرة اخرى الى هناك
","الخدمة، النظافة، المكان",-1,"-1,-1,-1"
70,"تجربة تسوق فريدة 
واحدة من افضل تجارب التسوق وممتاز جدا ومرتب، ويوجد جميع المرافق التي تحتاجها لقضاء اجمل الاوقات مع الاسرة من سينما ومركز واهوو المائي ولكن عيب المركز عدم وجود غرف تدخين خاصة وهو امر مزعج جدا
","تجربة تسوق، المرافق، عدم وجود غرف تدخين",1,"1,1,-1"
71,"Best mall 
من احسن واجمل المولات بالخليج
متنوع ، راقي
تصميم جميل
تنوع الخدمات
تعامل ممتاز
مطاعم لكل الاذواق
كافيات متنوعه
مكان رائع للشباب والعوائل
","تصميم، تعامل، كافيهات، مكان",1,"1,1,1,1"
72,"مجمع راقي 
المجمع راقي وجميع سبل الترفية والماركات موجودة فية يحتوي على جميع انواع المطاعم والكافيهات
ومدينة مائية وملاهي اطفال
","مجمع، المجمع، سبل الترفيه",1,"1,1,1"
73,"جميل 
يحتوي على كل شي مطاعم راقيه و تسوق و سينما و هو مكان رائع للعائله و الشباب و هو يعتبر ارفى مجمع تجاري في البحرين
","مطاعم، مكان، مجمع تجاري",1,"1,1,1"
74,"الملاذ الوحيد بالعطله 
مكان رائع يتوفر فيه كل شيء من مطاعم و سوبر ماركت و سينما و منطقه العاب و كل ما نحتاجه للتسوق و شراء الحاجيات الشخصيه و المنزليه .
",مكان,1,1
75,"مول رائع 
من اجمل المولات في البحرين به سينما مميزة ومطاعم راقية
به حديقة مائيه وكل المحلات الفخمه اللتي تحتاجها للتسوق
مواقف سيارات كبيره
",مول,1,1
76,"مجمع تسوقي 
مجمع يقع في ضاحيه السيف هادى توجد به العديد من المطاعم وتوجد مراكز للتعليم الاطفال وسينمات وعدد من المحلات التجاريه وبالقرب منه العالي سنتر
","مجمع، مجمع، العالي سنتر",1,"1,0,0"
77,"فخامه وماركات عالميه لأصحاب الذوق الرفيع 
قمت بزياره مودا مول في البحرين والملاصق لفندق شيراتون. والمول من مولات الفخامه والماركات العالميه لأصحاب الذوق الرفيع وقد قمنا بالتسوق بالمول واختتمنا زيارتنا بحلسه في مقهى شاي لاتيه والزياره ممتعه ومكلفه جدا
","ماركات، المول، الذوق، الزيارة",1,"1,0,1,-1"
78,"مول عجيب 
احلى مول بالشرقية كبير وشرح والعابه تناسب جميع الاعمار ومحلاته فله شي واااااااااو ياليت بس يحطون فيه سينما ومطاعم امريكية بس
","مول، مول، العابه، سينما ومطاعم",1,"1,1,1,1"
80,"سوق ممتع 
المول جميل و متنوع الماركات ويوجد كوفيهات و مطاعم و هايبر العثيم أنصح بزيارته بالنهار لان بالليل زحمه
","سوق، المول",1,"1,1"
82,"رخيص وهناك صفقات جيده 
موقع السوق سهل والمكان كله مغطي وهناك العديد من الماركات غوتشي بردا ديور بالي دي اند جي السوق يستحق الزياره بسبب رخص الاسعار ولكن لن تجد فيه موضه السنه او اللي قبلها ورغم هذا. يستحق
","صفقات، موقع السوق، المكان، الاسعار، موضه السنة او اللي قبلها",1,"1,1,1,1,1"
